Bobo,Goudoubo,Mentao,Ouagadougou,Fassala,Mbera,Abala,Intikane,Mangaize,Niamey,Tabareybarey,Date
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-01 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-02 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-03 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-04 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-05 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-06 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-07 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-08 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-09 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-10 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-11 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-12 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-13 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-14 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-15 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-16 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-17 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-18 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-19 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-20 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-21 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-22 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-23 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-24 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-25 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-26 00:00:00
0,0,0,0,40200,0,5400,11100,1200,0,0,2012-01-27 00:00:00
0,0,0,0,40200,300,5400,11100,1200,0,0,2012-01-28 00:00:00
0,0,0,0,40200,300,5400,11100,1200,0,0,2012-01-29 00:00:00
0,0,0,0,40200,600,5400,11100,1200,0,0,2012-01-30 00:00:00
0,0,0,0,40500,0,5400,11100,1200,0,0,2012-01-31 00:00:00
0,0,0,0,40500,0,5400,11100,1200,0,0,2012-02-01 00:00:00
0,0,0,0,40800,300,5400,11100,1200,0,0,2012-02-02 00:00:00
0,0,0,0,40800,300,5400,11100,1200,0,0,2012-02-03 00:00:00
0,0,0,0,41100,600,5400,11100,1200,0,0,2012-02-04 00:00:00
