Bobo,Goudoubo,Mentao,Ouagadougou,Fassala,Mbera,Abala,Intikane,Mangaize,Niamey,Tabareybarey,Date
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-01 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-02 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-03 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-04 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-05 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-06 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-07 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-08 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-09 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-10 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-11 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-12 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-13 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-14 00:00:00
0,0,0,0,21600,0,2100,5700,1500,0,0,2012-01-15 00:00:00
0,0,0,0,21600,0,2100,5700,2700,0,0,2012-01-16 00:00:00
0,1200,0,0,21600,0,2100,5700,5100,0,300,2012-01-17 00:00:00
0,900,0,0,21600,0,2100,5700,4800,0,0,2012-01-18 00:00:00
0,1200,0,0,21600,0,2100,5700,2100,0,900,2012-01-19 00:00:00
0,1200,0,0,21600,300,2100,5700,1500,0,600,2012-01-20 00:00:00
0,1500,0,0,21600,300,2100,5700,1500,0,300,2012-01-21 00:00:00
0,1500,300,0,21900,0,2100,5700,1500,0,300,2012-01-22 00:00:00
0,1200,300,0,21900,0,2100,5700,1500,0,300,2012-01-23 00:00:00
0,1200,0,0,21600,0,2100,5700,1500,0,300,2012-01-24 00:00:00
0,300,300,0,21900,0,2100,5700,1500,0,0,2012-01-25 00:00:00
0,300,300,0,21900,300,2100,5700,1500,0,1500,2012-01-26 00:00:00
0,0,900,0,21900,900,2100,5700,1500,0,1800,2012-01-27 00:00:00
0,1500,0,0,21900,1500,2100,5700,1500,0,1500,2012-01-28 00:00:00
0,1800,300,0,21900,1800,2100,5700,1500,0,1800,2012-01-29 00:00:00
0,2100,300,0,23100,1200,2100,5700,1500,0,1500,2012-01-30 00:00:00
0,1200,0,0,24000,1200,2100,5700,1500,0,1800,2012-01-31 00:00:00
0,1200,600,0,24000,1800,2100,5700,1500,0,1500,2012-02-01 00:00:00
0,1800,300,0,24600,1500,2100,5700,1500,0,900,2012-02-02 00:00:00
0,2100,300,0,25800,3300,2100,5700,1500,0,300,2012-02-03 00:00:00
0,1500,300,0,29700,6900,2100,5700,1500,0,0,2012-02-04 00:00:00
0,900,0,0,35400,12000,2100,5700,1500,0,0,2012-02-05 00:00:00
0,300,300,0,41100,17400,2100,5700,1500,0,0,2012-02-06 00:00:00
0,0,300,0,45600,20400,2100,5700,1500,0,0,2012-02-07 00:00:00
0,0,300,0,42900,26100,2100,5700,1500,0,0,2012-02-08 00:00:00
0,0,0,0,42900,28200,2100,5700,1500,0,0,2012-02-09 00:00:00
0,0,0,0,45900,27000,2100,5700,1500,0,0,2012-02-10 00:00:00
0,0,0,0,45600,27300,2100,5700,1500,0,0,2012-02-11 00:00:00
0,0,0,0,44400,29100,2100,5700,1500,0,0,2012-02-12 00:00:00
