Burkina Faso,Côte D'Ivoire,Guinea,Mauritania,Niger,Senegal,Mali,Other,Dead,Date
0,0,0,0,0,0,3321600,0,0,2012-01-01 00:00:00
0,0,0,0,0,0,3321600,0,0,2012-01-02 00:00:00
0,0,0,0,0,0,3321900,0,0,2012-01-03 00:00:00
0,0,0,0,0,0,3322200,0,0,2012-01-04 00:00:00
0,0,0,0,0,0,3322500,0,0,2012-01-05 00:00:00
0,0,0,0,0,0,3322800,0,0,2012-01-06 00:00:00
0,0,0,0,0,0,3323100,0,0,2012-01-07 00:00:00
0,0,0,0,0,0,3323400,0,0,2012-01-08 00:00:00
0,0,0,0,0,0,3323700,0,0,2012-01-09 00:00:00
0,0,0,0,0,0,3324000,0,0,2012-01-10 00:00:00
0,0,0,0,0,0,3324300,0,0,2012-01-11 00:00:00
0,0,0,0,0,0,3324600,0,0,2012-01-12 00:00:00
0,0,0,0,0,0,3324900,0,0,2012-01-13 00:00:00
0,0,0,0,0,0,3325200,0,0,2012-01-14 00:00:00
0,0,0,0,0,0,3325500,0,0,2012-01-15 00:00:00
0,0,0,0,0,0,3325800,0,0,2012-01-16 00:00:00
0,0,0,0,0,0,3326100,0,0,2012-01-17 00:00:00
0,0,0,0,300,0,3326100,0,0,2012-01-18 00:00:00
0,0,0,0,2700,0,3324000,0,0,2012-01-19 00:00:00
0,0,0,0,2700,0,3324300,0,0,2012-01-20 00:00:00
300,0,0,0,2400,0,3324600,0,0,2012-01-21 00:00:00
300,0,0,0,2400,0,3324900,0,0,2012-01-22 00:00:00
300,0,0,0,2400,0,3325200,0,0,2012-01-23 00:00:00
2700,0,0,0,0,0,3325500,0,0,2012-01-24 00:00:00
2400,0,0,0,0,0,3326100,0,0,2012-01-25 00:00:00
2400,0,0,0,0,0,3326400,0,0,2012-01-26 00:00:00
2400,0,0,0,0,0,3326700,0,0,2012-01-27 00:00:00
2400,0,0,0,0,0,3327000,0,0,2012-01-28 00:00:00
0,0,0,0,0,0,3329700,0,0,2012-01-29 00:00:00
0,0,0,0,0,0,3330000,0,0,2012-01-30 00:00:00
0,0,0,0,0,0,3330300,0,0,2012-01-31 00:00:00
0,0,0,0,2400,0,3328200,0,0,2012-02-01 00:00:00
0,0,0,300,2400,0,3328200,0,0,2012-02-02 00:00:00
0,0,0,300,2400,0,3328500,0,0,2012-02-03 00:00:00
0,0,0,300,2400,0,3328800,0,0,2012-02-04 00:00:00
2400,0,0,300,0,0,3329100,0,0,2012-02-05 00:00:00
2400,0,0,300,0,0,3329400,0,0,2012-02-06 00:00:00
2400,0,0,6600,0,0,3323400,0,0,2012-02-07 00:00:00
2400,0,0,7500,0,0,3322800,0,0,2012-02-08 00:00:00
2400,0,0,9000,0,0,3321600,0,0,2012-02-09 00:00:00
2400,0,0,13500,0,0,3317400,0,0,2012-02-10 00:00:00
0,0,0,12300,0,0,3321300,0,0,2012-02-11 00:00:00
0,0,0,12300,0,0,3321600,0,0,2012-02-12 00:00:00
0,0,0,16500,0,0,3317700,0,0,2012-02-13 00:00:00
8400,0,0,14400,0,0,3311700,0,0,2012-02-14 00:00:00
