Burkina Faso,Côte D'Ivoire,Guinea,Mauritania,Niger,Senegal,Mali,Other,Dead,Date
0,0,0,0,0,0,3321600,0,0,2012-01-01 00:00:00
0,0,0,0,0,0,3322000,0,0,2012-01-02 00:00:00
0,0,0,0,0,0,3322400,0,0,2012-01-03 00:00:00
0,0,0,0,0,0,3322800,0,0,2012-01-04 00:00:00
0,0,0,0,0,0,3323200,0,0,2012-01-05 00:00:00
0,0,0,0,0,0,3323600,0,0,2012-01-06 00:00:00
0,0,0,0,0,0,3324000,0,0,2012-01-07 00:00:00
0,0,0,0,0,0,3324400,0,0,2012-01-08 00:00:00
0,0,0,0,0,0,3324800,0,0,2012-01-09 00:00:00
0,0,0,0,0,0,3325200,0,0,2012-01-10 00:00:00
0,0,0,0,0,0,3325600,0,0,2012-01-11 00:00:00
0,0,0,0,0,0,3326000,0,0,2012-01-12 00:00:00
0,0,0,0,0,0,3326400,0,0,2012-01-13 00:00:00
0,0,0,0,0,0,3326800,0,0,2012-01-14 00:00:00
0,0,0,0,0,0,3327200,0,0,2012-01-15 00:00:00
0,0,0,0,0,0,3327600,0,0,2012-01-16 00:00:00
0,0,0,0,0,0,3328000,0,0,2012-01-17 00:00:00
0,0,0,0,0,0,3328400,0,0,2012-01-18 00:00:00
0,0,0,0,0,0,3328800,0,0,2012-01-19 00:00:00
0,0,0,0,2300,0,3326900,0,0,2012-01-20 00:00:00
0,0,0,0,2300,0,3327300,0,0,2012-01-21 00:00:00
1000,0,0,0,1300,0,3327700,0,0,2012-01-22 00:00:00
2300,0,0,0,0,0,3328100,0,0,2012-01-23 00:00:00
2300,0,0,0,1100,0,3327400,0,0,2012-01-24 00:00:00
3400,0,0,0,0,0,3327800,0,0,2012-01-25 00:00:00
3400,0,0,0,0,0,3328200,0,0,2012-01-26 00:00:00
3400,0,0,0,0,0,3328600,0,0,2012-01-27 00:00:00
3400,0,0,0,0,0,3329000,0,0,2012-01-28 00:00:00
1300,0,0,0,0,0,3329400,0,0,2012-01-29 00:00:00
0,0,0,0,0,0,3330800,0,0,2012-01-30 00:00:00
0,0,0,0,0,0,3333600,0,0,2012-01-31 00:00:00
0,0,0,0,0,0,3334000,0,0,2012-02-01 00:00:00
0,0,0,0,0,0,3334400,0,0,2012-02-02 00:00:00
0,0,0,0,0,0,3334700,0,100,2012-02-03 00:00:00
0,0,0,0,0,0,3335100,0,100,2012-02-04 00:00:00
0,0,0,0,0,0,3335500,0,100,2012-02-05 00:00:00
0,0,0,0,0,0,3335900,0,100,2012-02-06 00:00:00
0,0,0,0,0,0,3336300,0,100,2012-02-07 00:00:00
0,0,0,0,0,0,3336700,0,100,2012-02-08 00:00:00
0,0,0,0,0,0,3337100,0,100,2012-02-09 00:00:00
0,0,0,4300,0,0,3330000,0,100,2012-02-10 00:00:00
0,0,0,4300,0,0,3329200,0,100,2012-02-11 00:00:00
0,0,0,7600,0,0,3326100,0,100,2012-02-12 00:00:00
0,0,0,11000,0,0,3324300,0,100,2012-02-13 00:00:00
0,0,0,11000,0,0,3322800,0,100,2012-02-14 00:00:00
600,0,0,11800,0,0,3323300,0,100,2012-02-15 00:00:00
600,0,0,11800,0,0,3324000,0,100,2012-02-16 00:00:00
600,0,0,11800,0,0,3322300,0,100,2012-02-17 00:00:00
600,0,0,12300,0,0,3322200,0,100,2012-02-18 00:00:00
600,0,0,12300,0,0,3322600,0,100,2012-02-19 00:00:00
600,0,0,14600,0,0,3321500,0,100,2012-02-20 00:00:00
600,0,0,15800,0,0,3319000,0,100,2012-02-21 00:00:00
600,0,0,14900,0,0,3320700,0,100,2012-02-22 00:00:00
600,0,0,14900,0,0,3321200,0,100,2012-02-23 00:00:00
600,0,0,14900,0,0,3321800,0,100,2012-02-24 00:00:00
1800,0,0,13700,0,0,3320100,0,100,2012-02-25 00:00:00
3800,0,0,13700,0,0,3320100,0,100,2012-02-26 00:00:00
3800,0,0,13700,0,0,3320500,0,100,2012-02-27 00:00:00
4000,0,0,13700,0,0,3319700,0,100,2012-02-28 00:00:00
4000,0,0,13700,0,0,3323000,0,100,2012-02-29 00:00:00
2800,0,0,13700,0,0,3321400,0,100,2012-03-01 00:00:00
2800,0,0,13700,0,0,3321000,0,100,2012-03-02 00:00:00
2200,0,0,13700,0,0,3318500,0,100,2012-03-03 00:00:00
1400,0,0,13700,0,0,3321000,0,100,2012-03-04 00:00:00
4500,0,0,13700,0,0,3318500,0,100,2012-03-05 00:00:00
4500,0,0,13700,0,0,3321400,0,100,2012-03-06 00:00:00
4500,0,0,13700,0,0,3321600,0,100,2012-03-07 00:00:00
5600,0,0,13700,0,0,3320600,0,100,2012-03-08 00:00:00
5600,0,0,13700,0,0,3320200,0,100,2012-03-09 00:00:00
4500,0,0,13700,0,0,3320500,0,100,2012-03-10 00:00:00
4500,0,0,13700,0,0,3321300,0,100,2012-03-11 00:00:00
2300,0,0,13700,0,0,3324500,0,100,2012-03-12 00:00:00
1800,0,0,13700,0,0,3327100,0,100,2012-03-13 00:00:00
1800,0,0,13700,0,0,3328900,0,100,2012-03-14 00:00:00
1800,0,0,13700,0,0,3329700,0,100,2012-03-15 00:00:00
1800,0,0,13700,0,0,3328500,0,100,2012-03-16 00:00:00
1800,0,0,13700,0,0,3329900,0,100,2012-03-17 00:00:00
1800,0,0,13700,0,0,3330300,0,100,2012-03-18 00:00:00
3100,0,0,57100,0,0,3283000,0,100,2012-03-19 00:00:00
3100,0,0,40300,0,0,3281000,0,100,2012-03-20 00:00:00
3600,0,0,41800,0,0,3285400,0,100,2012-03-21 00:00:00
4800,0,0,41600,1800,0,3287800,0,100,2012-03-22 00:00:00
5400,0,0,41300,1800,0,3293600,0,100,2012-03-23 00:00:00
5400,0,0,40300,1800,0,3293400,0,100,2012-03-24 00:00:00
6700,0,400,40300,1800,0,3291100,0,100,2012-03-25 00:00:00
3900,0,400,40300,1800,0,3294100,0,100,2012-03-26 00:00:00
3000,0,400,40300,1800,0,3297800,0,100,2012-03-27 00:00:00
4400,0,400,40300,1800,0,3297400,0,100,2012-03-28 00:00:00
3100,0,400,40300,1800,0,3298000,0,100,2012-03-29 00:00:00
3800,0,0,40300,1800,0,3295100,0,100,2012-03-30 00:00:00
7300,0,0,40300,1800,0,3291000,0,100,2012-03-31 00:00:00
10800,0,0,40300,1800,0,3287300,0,100,2012-04-01 00:00:00
13900,0,0,40300,1800,0,3284300,0,100,2012-04-02 00:00:00
14800,0,0,40300,1800,0,3286701,0,100,2012-04-03 00:00:00
16900,0,0,40300,1800,0,3283001,0,100,2012-04-04 00:00:00
21700,0,0,40300,2700,0,3276701,0,100,2012-04-05 00:00:00
27500,0,0,40300,5900,0,3267501,0,100,2012-04-06 00:00:00
27900,0,0,40300,8200,0,3266301,0,100,2012-04-07 00:00:00
28600,0,0,40400,9900,0,3263601,0,100,2012-04-08 00:00:00
27300,0,0,40300,9600,0,3266901,0,100,2012-04-09 00:00:00
27800,0,0,40300,9000,0,3265801,0,100,2012-04-10 00:00:00
27300,0,0,40300,9000,0,3266001,0,100,2012-04-11 00:00:00
33000,0,0,40800,7300,0,3263801,0,100,2012-04-12 00:00:00
31400,0,0,40300,7300,0,3264001,0,100,2012-04-13 00:00:00
31700,0,0,40300,7300,0,3260901,0,100,2012-04-14 00:00:00
31900,0,0,40300,7300,0,3263901,0,100,2012-04-15 00:00:00
32000,0,0,40300,7300,0,3266201,0,100,2012-04-16 00:00:00
30600,0,0,40300,9100,0,3266701,0,100,2012-04-17 00:00:00
30100,0,0,40300,10400,0,3262601,0,100,2012-04-18 00:00:00
31700,0,0,40300,9400,0,3267201,0,100,2012-04-19 00:00:00
31000,0,0,40300,8100,0,3269201,0,100,2012-04-20 00:00:00
32600,0,0,40300,8200,0,3264801,0,100,2012-04-21 00:00:00
34100,0,0,40300,8100,0,3265601,0,100,2012-04-22 00:00:00
34000,0,0,40300,8100,0,3267801,0,100,2012-04-23 00:00:00
34100,0,0,40300,9000,0,3263401,0,100,2012-04-24 00:00:00
34300,0,0,40300,9000,0,3263201,0,100,2012-04-25 00:00:00
31500,0,0,40300,9000,0,3264701,0,100,2012-04-26 00:00:00
31800,0,0,40300,9800,0,3267201,0,100,2012-04-27 00:00:00
29300,0,0,40300,9800,0,3270801,0,100,2012-04-28 00:00:00
28800,0,0,40300,10700,0,3266401,0,100,2012-04-29 00:00:00
30400,0,0,40300,10700,0,3265201,0,100,2012-04-30 00:00:00
33900,0,0,40300,9800,0,3264102,0,100,2012-05-01 00:00:00
33800,0,0,40300,9800,0,3263302,0,100,2012-05-02 00:00:00
34400,0,0,40300,9800,0,3260302,0,100,2012-05-03 00:00:00
34400,0,0,40300,9800,0,3261002,0,100,2012-05-04 00:00:00
37500,0,0,40300,9800,0,3256602,0,100,2012-05-05 00:00:00
48100,0,0,40300,9800,0,3248102,0,100,2012-05-06 00:00:00
67800,0,0,40300,9800,0,3218802,0,100,2012-05-07 00:00:00
120400,0,100,40300,9800,0,3159802,0,100,2012-05-08 00:00:00
194200,0,1100,40300,9800,0,3079402,0,100,2012-05-09 00:00:00
269000,0,1100,40300,9800,0,3001402,0,100,2012-05-10 00:00:00
353800,0,2000,40300,9800,0,2906802,0,100,2012-05-11 00:00:00
412600,0,2000,40300,9800,0,2847102,0,100,2012-05-12 00:00:00
502200,0,2500,40300,10400,0,2759002,0,100,2012-05-13 00:00:00
549100,0,2500,40300,11100,0,2704302,0,100,2012-05-14 00:00:00
581900,0,2500,40300,11100,0,2669002,0,100,2012-05-15 00:00:00
603200,0,1000,40300,12800,0,2649802,0,100,2012-05-16 00:00:00
616200,0,1000,40300,13400,0,2640302,0,100,2012-05-17 00:00:00
635900,0,1000,40300,15300,0,2618003,0,100,2012-05-18 00:00:00
643000,0,1000,40300,16100,0,2612903,0,100,2012-05-19 00:00:00
642100,0,1000,40300,19500,0,2606803,0,100,2012-05-20 00:00:00
645000,0,1000,40300,20300,0,2591903,0,100,2012-05-21 00:00:00
644800,0,1000,40300,20300,0,2585203,0,100,2012-05-22 00:00:00
653400,0,1000,40300,19700,0,2591203,0,100,2012-05-23 00:00:00
655200,0,1000,40300,20000,0,2592203,0,100,2012-05-24 00:00:00
664100,0,1000,40300,24200,0,2585603,0,100,2012-05-25 00:00:00
663400,0,1000,40300,27200,0,2582203,0,100,2012-05-26 00:00:00
671000,0,500,40300,26100,0,2575203,0,100,2012-05-27 00:00:00
668000,0,1000,40300,26700,0,2572903,0,100,2012-05-28 00:00:00
674400,0,1000,40300,24300,0,2566603,0,100,2012-05-29 00:00:00
669200,0,1000,40300,28000,0,2563403,0,100,2012-05-30 00:00:00
666000,0,1000,40300,28600,0,2566403,0,100,2012-05-31 00:00:00
663300,0,0,40300,31100,0,2568003,0,100,2012-06-01 00:00:00
664800,0,0,40300,29600,0,2565403,0,100,2012-06-02 00:00:00
663500,0,0,40300,32900,0,2569503,0,100,2012-06-03 00:00:00
663400,0,0,40300,34300,0,2573303,0,100,2012-06-04 00:00:00
658200,0,0,40300,37000,0,2572003,0,100,2012-06-05 00:00:00
654000,0,0,40300,41300,0,2567003,0,100,2012-06-06 00:00:00
653200,0,0,40300,40300,0,2571903,0,100,2012-06-07 00:00:00
654500,0,0,40300,35700,0,2570203,0,100,2012-06-08 00:00:00
652400,0,0,40300,38400,0,2573603,0,100,2012-06-09 00:00:00
653800,0,0,40300,37400,0,2569103,0,100,2012-06-10 00:00:00
653600,0,0,40300,38300,0,2566403,0,100,2012-06-11 00:00:00
652600,0,0,40300,39000,0,2574803,0,100,2012-06-12 00:00:00
653200,0,0,40300,40300,0,2568603,0,100,2012-06-13 00:00:00
658200,0,0,40300,37800,0,2567003,0,100,2012-06-14 00:00:00
653500,0,0,40300,40700,0,2562603,0,100,2012-06-15 00:00:00
648600,0,0,40300,42300,0,2555403,0,100,2012-06-16 00:00:00
639100,0,0,40300,45100,0,2562003,0,100,2012-06-17 00:00:00
645100,0,0,40300,42000,0,2578503,0,100,2012-06-18 00:00:00
647300,0,0,40300,44400,0,2573603,0,100,2012-06-19 00:00:00
646800,0,0,40300,45900,0,2566703,0,100,2012-06-20 00:00:00
648000,0,0,40300,44000,0,2567903,0,100,2012-06-21 00:00:00
648200,0,0,40300,41800,0,2572003,0,100,2012-06-22 00:00:00
