Bobo,Goudoubo,Mentao,Ouagadougou,Fassala,Mbera,Abala,Intikane,Mangaize,Niamey,Tabareybarey,Date
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-01 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-02 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-03 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-04 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-05 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-06 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-07 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-08 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-09 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-10 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-11 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-12 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-13 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-14 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-15 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-16 00:00:00
0,0,0,0,21600,0,2500,5800,4800,0,0,2012-01-17 00:00:00
0,0,0,0,21600,0,2500,5800,3800,0,0,2012-01-18 00:00:00
0,0,0,0,21600,0,2500,5800,2700,0,0,2012-01-19 00:00:00
0,2100,0,0,21600,0,2500,5800,2700,0,0,2012-01-20 00:00:00
0,2100,0,0,21600,0,2500,5800,1400,0,0,2012-01-21 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-22 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-23 00:00:00
0,0,1000,0,21600,0,2500,5800,1400,0,0,2012-01-24 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-25 00:00:00
0,1300,0,0,21600,0,2500,5800,1400,0,0,2012-01-26 00:00:00
0,1300,0,0,21600,0,2500,5800,1400,0,0,2012-01-27 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-28 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-29 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-30 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-31 00:00:00
0,0,1300,0,21600,0,2500,5800,1400,0,0,2012-02-01 00:00:00
0,0,1300,0,21600,1100,2500,5800,1400,0,0,2012-02-02 00:00:00
0,0,1300,0,22600,1100,2500,5800,1400,0,0,2012-02-03 00:00:00
0,0,1300,0,22700,1000,2500,5800,1400,0,0,2012-02-04 00:00:00
0,0,0,0,26700,1000,2500,5800,1400,0,0,2012-02-05 00:00:00
0,0,0,0,29400,2900,2500,5800,1400,0,0,2012-02-06 00:00:00
0,0,0,0,28500,6400,2500,5800,1400,0,0,2012-02-07 00:00:00
0,0,0,0,27500,9900,2500,5800,1400,0,0,2012-02-08 00:00:00
0,0,0,0,29000,12100,2500,5800,1400,0,0,2012-02-09 00:00:00
0,0,0,0,33900,10600,2500,5800,1400,0,0,2012-02-10 00:00:00
0,0,0,0,37000,11300,2500,5800,1400,0,0,2012-02-11 00:00:00
0,0,0,0,37100,13700,2500,5800,1400,0,0,2012-02-12 00:00:00
0,0,0,0,33600,17500,2500,5800,1400,0,0,2012-02-13 00:00:00
0,0,0,0,35400,16900,2500,5800,1400,0,0,2012-02-14 00:00:00
0,0,0,0,39500,16000,2500,5800,1400,0,0,2012-02-15 00:00:00
0,0,0,0,40000,17100,2500,5800,1400,0,0,2012-02-16 00:00:00
0,0,0,0,39100,19100,2500,5800,1400,0,0,2012-02-17 00:00:00
0,0,0,0,37300,20900,2500,5800,1400,0,0,2012-02-18 00:00:00
0,0,0,0,37300,20900,2500,5800,1400,0,0,2012-02-19 00:00:00
0,0,0,0,39100,20800,2500,5800,1400,0,0,2012-02-20 00:00:00
0,0,0,0,38200,20800,2500,5800,1400,0,0,2012-02-21 00:00:00
0,0,0,0,37400,20800,2500,5800,1400,0,0,2012-02-22 00:00:00
0,0,0,0,37400,20800,2500,5800,1400,0,0,2012-02-23 00:00:00
0,0,0,0,37400,20800,2500,5800,1400,0,0,2012-02-24 00:00:00
0,0,0,0,37400,20800,2500,5800,1400,0,0,2012-02-25 00:00:00
0,0,0,0,37400,20800,2500,5800,1400,0,0,2012-02-26 00:00:00
0,0,0,0,37400,20800,2500,5800,1400,0,0,2012-02-27 00:00:00
0,0,0,0,38200,20800,2500,5800,1400,0,0,2012-02-28 00:00:00
0,0,0,0,38200,20800,2500,5800,1400,0,0,2012-02-29 00:00:00
0,0,0,0,38300,20800,2500,5800,1400,0,0,2012-03-01 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-02 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-03 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-04 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-05 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-06 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-07 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-08 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-09 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-10 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-11 00:00:00
0,0,0,0,37500,21600,2500,5800,1400,0,0,2012-03-12 00:00:00
0,0,0,0,37600,21600,2500,5800,1400,0,0,2012-03-13 00:00:00
0,0,0,0,37600,21600,2500,5800,1400,0,0,2012-03-14 00:00:00
0,0,0,0,37600,21600,2500,5800,1400,0,0,2012-03-15 00:00:00
0,0,0,0,37600,21600,2500,5800,1400,0,4800,2012-03-16 00:00:00
0,2000,0,0,37600,21600,2500,5800,1400,0,2800,2012-03-17 00:00:00
0,4800,0,0,37600,21600,2500,5800,1400,0,0,2012-03-18 00:00:00
0,2800,0,0,35600,7900,2500,5800,1400,0,0,2012-03-19 00:00:00
0,2800,0,0,21000,24100,2500,5800,1400,0,0,2012-03-20 00:00:00
0,0,2000,0,10300,34400,2500,5800,1400,0,0,2012-03-21 00:00:00
0,0,1500,0,5000,39500,2500,5800,1400,0,0,2012-03-22 00:00:00
0,0,0,0,2500,42000,2500,5800,1400,0,0,2012-03-23 00:00:00
0,0,0,0,1200,43300,2500,5800,1400,0,0,2012-03-24 00:00:00
0,0,1000,0,600,43900,2500,5800,1400,0,0,2012-03-25 00:00:00
0,0,0,0,300,44200,2500,5800,1400,0,0,2012-03-26 00:00:00
0,0,1500,0,100,44400,2500,5800,1400,0,0,2012-03-27 00:00:00
0,0,1500,0,0,44500,2500,5800,1400,0,0,2012-03-28 00:00:00
0,0,600,0,0,44500,2500,5800,1400,0,0,2012-03-29 00:00:00
0,600,500,0,0,44500,2500,5800,1400,0,0,2012-03-30 00:00:00
0,600,0,600,0,44500,2500,5800,1400,0,0,2012-03-31 00:00:00
0,0,0,600,300,44900,2500,5800,1400,0,1000,2012-04-01 00:00:00
600,1000,0,600,100,45100,2500,5800,1400,0,0,2012-04-02 00:00:00
0,1000,0,600,0,45800,2500,5800,1400,0,12800,2012-04-03 00:00:00
0,2900,1100,600,800,45900,2500,5800,1400,0,13000,2012-04-04 00:00:00
0,11200,200,600,100,47000,2500,5800,3400,0,400,2012-04-05 00:00:00
0,8200,800,600,500,46600,2500,5800,3400,0,2300,2012-04-06 00:00:00
1300,4800,1600,600,300,46900,2500,5800,3300,2000,0,2012-04-07 00:00:00
1200,6100,6600,0,100,47100,2500,5800,3300,2000,4500,2012-04-08 00:00:00
1200,6200,7200,1100,0,47200,2500,5800,4900,2000,1700,2012-04-09 00:00:00
2300,4900,6300,1100,0,47200,2500,5800,4900,2000,800,2012-04-10 00:00:00
2300,5900,7900,1000,0,47200,2500,5800,3300,2000,900,2012-04-11 00:00:00
0,5800,10100,1000,0,47200,2500,5800,3300,2000,0,2012-04-12 00:00:00
0,5200,10100,0,0,47200,2500,5800,3300,2000,0,2012-04-13 00:00:00
1500,4200,9400,0,0,47200,2500,5800,4100,2000,0,2012-04-14 00:00:00
1500,2300,11600,0,0,47200,2500,5800,4100,2000,0,2012-04-15 00:00:00
2600,3500,6900,0,0,47200,2500,5800,4200,2000,200,2012-04-16 00:00:00
1500,3800,9500,0,0,47200,2500,5800,4200,2000,200,2012-04-17 00:00:00
1500,4600,6900,0,0,47200,2500,5800,3300,2000,200,2012-04-18 00:00:00
1500,4200,7300,0,0,47200,2500,5800,3300,2000,0,2012-04-19 00:00:00
400,5600,4400,0,0,47200,2500,5800,3300,2000,0,2012-04-20 00:00:00
400,4800,3400,0,0,47200,2500,5800,3300,2000,0,2012-04-21 00:00:00
400,3300,9200,0,0,47200,2500,5800,3300,2000,0,2012-04-22 00:00:00
400,3300,7800,0,0,47200,2500,5800,3300,2000,0,2012-04-23 00:00:00
400,3300,8100,0,0,47200,2500,5800,3300,2000,800,2012-04-24 00:00:00
400,4800,6800,0,0,47200,2500,5800,3300,2000,800,2012-04-25 00:00:00
400,4800,5100,0,0,47200,2500,5800,3300,2000,800,2012-04-26 00:00:00
400,2400,4800,0,0,47200,2500,5800,3300,2000,800,2012-04-27 00:00:00
400,4600,7100,0,0,47200,2500,5800,3300,2000,0,2012-04-28 00:00:00
400,4600,5200,0,0,47200,2500,5800,3300,2000,0,2012-04-29 00:00:00
400,3200,5200,0,0,47200,2500,5800,3300,2000,0,2012-04-30 00:00:00
