Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
0,0,0,0,3321600,0,2012-01-01 00:00:00
0,0,0,0,3322000,0,2012-01-02 00:00:00
0,0,0,0,3322400,0,2012-01-03 00:00:00
0,0,0,0,3322800,0,2012-01-04 00:00:00
0,0,0,0,3323200,0,2012-01-05 00:00:00
0,0,0,0,3323600,0,2012-01-06 00:00:00
0,0,0,0,3324000,0,2012-01-07 00:00:00
0,0,0,0,3324400,0,2012-01-08 00:00:00
0,0,0,0,3324800,0,2012-01-09 00:00:00
0,0,0,0,3325200,0,2012-01-10 00:00:00
0,0,0,0,3325600,0,2012-01-11 00:00:00
0,0,0,0,3326000,0,2012-01-12 00:00:00
0,0,0,0,3326400,0,2012-01-13 00:00:00
0,0,0,0,3326800,0,2012-01-14 00:00:00
0,0,0,0,3327200,0,2012-01-15 00:00:00
0,7000,0,0,3320600,0,2012-01-16 00:00:00
0,7000,0,0,3321000,0,2012-01-17 00:00:00
0,7000,0,0,3321400,0,2012-01-18 00:00:00
0,17400,0,0,3311400,0,2012-01-19 00:00:00
0,15300,0,2100,3311800,0,2012-01-20 00:00:00
0,15300,0,2100,3312200,0,2012-01-21 00:00:00
0,15300,0,2100,3312600,0,2012-01-22 00:00:00
0,15300,0,2100,3313000,0,2012-01-23 00:00:00
0,15300,0,2100,3313400,0,2012-01-24 00:00:00
0,15300,0,2100,3313800,0,2012-01-25 00:00:00
0,14000,0,3400,3314200,0,2012-01-26 00:00:00
0,14000,0,3400,3314600,0,2012-01-27 00:00:00
0,14000,0,3400,3315000,0,2012-01-28 00:00:00
0,14000,0,3400,3315400,0,2012-01-29 00:00:00
0,14000,0,3400,3315800,0,2012-01-30 00:00:00
0,14000,1100,2300,3316200,0,2012-01-31 00:00:00
0,14000,1100,2300,3316600,0,2012-02-01 00:00:00
0,14000,2100,1300,3317000,0,2012-02-02 00:00:00
0,39000,2100,1300,3292400,0,2012-02-03 00:00:00
0,76000,2100,1300,3255800,0,2012-02-04 00:00:00
0,76000,2100,1300,3256200,0,2012-02-05 00:00:00
0,76000,2100,1300,3256600,0,2012-02-06 00:00:00
0,76000,2100,1300,3257000,0,2012-02-07 00:00:00
0,76000,2100,1300,3257400,0,2012-02-08 00:00:00
0,75000,2100,2300,3257800,0,2012-02-09 00:00:00
0,73600,2100,3800,3258100,0,2012-02-10 00:00:00
0,72800,2100,4600,3258500,0,2012-02-11 00:00:00
0,70000,2100,7400,3258900,0,2012-02-12 00:00:00
0,67400,2100,10000,3259300,0,2012-02-13 00:00:00
0,63000,2100,14400,3259700,0,2012-02-14 00:00:00
0,60500,3000,16000,3260100,0,2012-02-15 00:00:00
0,60500,4900,14100,3260500,0,2012-02-16 00:00:00
0,56600,6600,16300,3260900,0,2012-02-17 00:00:00
0,55200,6400,17900,3261300,0,2012-02-18 00:00:00
0,54700,6400,18500,3261600,0,2012-02-19 00:00:00
0,52200,6400,21000,3262000,0,2012-02-20 00:00:00
0,52200,6400,21000,3262400,0,2012-02-21 00:00:00
0,53800,8500,19900,3260200,0,2012-02-22 00:00:00
0,53800,9500,18900,3260600,0,2012-02-23 00:00:00
0,53900,7400,21000,3260900,0,2012-02-24 00:00:00
0,51800,9100,21300,3261400,0,2012-02-25 00:00:00
0,51900,6400,24000,3261700,0,2012-02-26 00:00:00
0,51900,7600,22800,3262100,0,2012-02-27 00:00:00
0,50300,8800,23200,3262500,0,2012-02-28 00:00:00
0,50300,8200,23800,3262900,0,2012-02-29 00:00:00
0,50300,8000,24000,3263300,0,2012-03-01 00:00:00
0,50300,6700,25300,3263700,0,2012-03-02 00:00:00
