Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
0,0,0,0,3321600,0,2012-01-01 00:00:00
0,0,0,0,3322000,0,2012-01-02 00:00:00
0,0,0,0,3322400,0,2012-01-03 00:00:00
0,0,0,0,3322800,0,2012-01-04 00:00:00
0,0,0,0,3323200,0,2012-01-05 00:00:00
0,0,0,0,3323600,0,2012-01-06 00:00:00
0,0,0,0,3324000,0,2012-01-07 00:00:00
0,0,0,0,3324400,0,2012-01-08 00:00:00
0,0,0,0,3324800,0,2012-01-09 00:00:00
0,0,0,0,3325200,0,2012-01-10 00:00:00
0,0,0,0,3325600,0,2012-01-11 00:00:00
0,0,0,0,3326000,0,2012-01-12 00:00:00
0,0,0,0,3326400,0,2012-01-13 00:00:00
0,0,0,0,3326800,0,2012-01-14 00:00:00
0,0,0,0,3327200,0,2012-01-15 00:00:00
0,7000,0,0,3320600,0,2012-01-16 00:00:00
0,7000,0,0,3321000,0,2012-01-17 00:00:00
0,7000,0,0,3321400,0,2012-01-18 00:00:00
0,17400,0,0,3311400,0,2012-01-19 00:00:00
0,15100,0,2300,3311800,0,2012-01-20 00:00:00
0,15100,0,2300,3312200,0,2012-01-21 00:00:00
0,15100,0,2300,3312600,0,2012-01-22 00:00:00
0,15100,0,2300,3313000,0,2012-01-23 00:00:00
0,14000,0,3400,3313400,0,2012-01-24 00:00:00
0,14000,0,3400,3313800,0,2012-01-25 00:00:00
0,14000,0,3400,3314200,0,2012-01-26 00:00:00
0,14000,0,3400,3314600,0,2012-01-27 00:00:00
0,14000,0,3400,3315000,0,2012-01-28 00:00:00
0,14000,0,3400,3315400,0,2012-01-29 00:00:00
0,14000,1000,2400,3315800,0,2012-01-30 00:00:00
0,14000,3400,0,3316200,0,2012-01-31 00:00:00
0,14000,3400,0,3316600,0,2012-02-01 00:00:00
0,14000,3400,0,3317000,0,2012-02-02 00:00:00
100,39000,3400,0,3292300,0,2012-02-03 00:00:00
100,75900,3400,0,3255800,0,2012-02-04 00:00:00
100,75900,3400,0,3256200,0,2012-02-05 00:00:00
100,75900,3400,0,3256600,0,2012-02-06 00:00:00
100,75900,3400,0,3257000,0,2012-02-07 00:00:00
100,75900,3400,0,3257400,0,2012-02-08 00:00:00
100,75900,3400,0,3257800,0,2012-02-09 00:00:00
100,68500,3400,7500,3258100,0,2012-02-10 00:00:00
100,67300,3400,8700,3258500,0,2012-02-11 00:00:00
100,62600,4600,12200,3258900,0,2012-02-12 00:00:00
100,59200,5800,14400,3259300,0,2012-02-13 00:00:00
100,57100,6000,16300,3259700,0,2012-02-14 00:00:00
100,55700,7500,16200,3260100,0,2012-02-15 00:00:00
100,54700,8800,15900,3260500,0,2012-02-16 00:00:00
100,52600,8800,18000,3260900,0,2012-02-17 00:00:00
100,52100,8800,18500,3261300,0,2012-02-18 00:00:00
100,52200,8800,18500,3261600,0,2012-02-19 00:00:00
100,48500,11000,20000,3262000,0,2012-02-20 00:00:00
100,46800,9800,22900,3262400,0,2012-02-21 00:00:00
100,49400,11100,21600,3260200,0,2012-02-22 00:00:00
100,49400,11200,21500,3260600,0,2012-02-23 00:00:00
100,49500,11400,21300,3260900,0,2012-02-24 00:00:00
100,49400,9300,23400,3261400,0,2012-02-25 00:00:00
100,48300,10100,23800,3261700,0,2012-02-26 00:00:00
100,48300,10100,23800,3262100,0,2012-02-27 00:00:00
100,48300,8900,25000,3262500,0,2012-02-28 00:00:00
100,48300,11800,22100,3262900,0,2012-02-29 00:00:00
100,48300,9800,24100,3263300,0,2012-03-01 00:00:00
100,48300,9000,24900,3263700,0,2012-03-02 00:00:00
