Bobo,Goudoubo,Mentao,Ouagadougou,Fassala,Mbera,Abala,Intikane,Mangaize,Niamey,Tabareybarey,Date
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-01 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-02 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-03 00:00:00
0,0,0,0,21600,0,2500,5800,1400,0,0,2012-01-04 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-05 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-06 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-07 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-08 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-09 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-10 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-11 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-12 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-13 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-14 00:00:00
0,0,0,0,21700,0,2500,5800,1400,0,0,2012-01-15 00:00:00
0,0,0,0,21700,0,2500,5800,2000,0,0,2012-01-16 00:00:00
0,400,0,0,21800,0,2500,5800,3300,0,100,2012-01-17 00:00:00
0,400,0,0,21800,100,2500,5800,2900,0,200,2012-01-18 00:00:00
0,500,0,0,21800,200,2500,5800,2000,0,100,2012-01-19 00:00:00
0,800,0,0,21800,400,2500,5800,1600,0,100,2012-01-20 00:00:00
0,700,0,0,21900,600,2500,5800,1600,0,100,2012-01-21 00:00:00
0,1000,0,0,22100,700,2500,5800,1500,0,100,2012-01-22 00:00:00
0,700,0,0,22300,700,2500,5800,1500,0,0,2012-01-23 00:00:00
0,600,0,0,22400,700,2500,5800,1400,0,0,2012-01-24 00:00:00
0,300,100,0,22400,700,2500,5800,1400,0,0,2012-01-25 00:00:00
0,200,200,0,22500,900,2500,5800,1400,0,0,2012-01-26 00:00:00
0,200,100,0,22400,600,2500,5800,1400,0,0,2012-01-27 00:00:00
0,0,200,0,22600,900,2500,5800,1400,0,0,2012-01-28 00:00:00
0,0,300,0,22800,1000,2500,5800,1400,0,0,2012-01-29 00:00:00
0,0,400,0,23200,700,2500,5800,1400,0,0,2012-01-30 00:00:00
0,0,300,0,23200,700,2500,5800,1400,0,0,2012-01-31 00:00:00
0,0,200,0,22700,1100,2500,5800,1400,0,0,2012-02-01 00:00:00
0,0,100,0,22500,1300,2500,5800,1400,0,0,2012-02-02 00:00:00
0,0,0,0,22800,5500,2500,5800,1400,0,0,2012-02-03 00:00:00
0,0,0,0,26000,10900,2500,5800,1400,0,0,2012-02-04 00:00:00
0,0,0,0,32100,9600,2500,5800,1400,0,0,2012-02-05 00:00:00
0,0,0,0,40000,10000,2500,5800,1400,0,0,2012-02-06 00:00:00
0,0,0,0,41700,16700,2500,5800,1400,0,0,2012-02-07 00:00:00
0,0,0,0,40600,19900,2500,5800,1400,0,0,2012-02-08 00:00:00
0,0,0,0,38200,22900,2500,5800,1400,0,0,2012-02-09 00:00:00
0,0,0,0,37800,24200,2500,5800,1400,0,0,2012-02-10 00:00:00
0,0,0,0,39800,23100,2500,5800,1400,0,0,2012-02-11 00:00:00
0,0,0,0,40700,22600,2500,5800,1400,0,0,2012-02-12 00:00:00
0,0,0,0,39900,23300,2500,5800,1400,0,0,2012-02-13 00:00:00
0,0,0,0,40800,23100,2500,5800,1400,0,0,2012-02-14 00:00:00
0,0,0,0,41300,23300,2500,5800,1400,0,0,2012-02-15 00:00:00
0,0,0,0,40600,23500,2500,5800,1400,0,0,2012-02-16 00:00:00
0,0,0,0,40100,24100,2500,5800,1400,0,0,2012-02-17 00:00:00
0,0,0,0,40500,23200,2500,5800,1400,0,0,2012-02-18 00:00:00
0,0,0,0,40100,23200,2500,5800,1400,0,0,2012-02-19 00:00:00
0,0,0,0,39900,23500,2500,5800,1400,0,0,2012-02-20 00:00:00
0,0,0,0,40300,23400,2500,5800,1400,0,0,2012-02-21 00:00:00
0,0,0,0,40300,23400,2500,5800,1400,0,0,2012-02-22 00:00:00
0,0,100,0,40500,23200,2500,5800,1400,0,100,2012-02-23 00:00:00
0,0,100,0,40800,23200,2500,5800,1400,0,100,2012-02-24 00:00:00
0,0,200,0,40600,23300,2500,5800,1400,0,100,2012-02-25 00:00:00
0,0,100,0,40300,23100,2500,5800,1400,0,0,2012-02-26 00:00:00
0,0,200,0,40600,23000,2500,5800,1400,0,0,2012-02-27 00:00:00
0,0,400,0,40500,23100,2500,5800,1400,0,0,2012-02-28 00:00:00
200,0,400,100,40300,23100,2500,5800,1400,0,0,2012-02-29 00:00:00
200,0,300,100,40500,23200,2500,5800,1400,0,0,2012-03-01 00:00:00
100,100,200,0,40300,23100,2500,5800,1400,0,100,2012-03-02 00:00:00
100,100,100,0,40200,23100,2500,5800,1400,0,200,2012-03-03 00:00:00
100,100,200,0,40200,23200,2500,5800,1400,0,200,2012-03-04 00:00:00
300,100,300,0,40500,23000,2500,5800,1400,0,200,2012-03-05 00:00:00
200,0,200,0,40700,23000,2500,5800,1400,0,200,2012-03-06 00:00:00
200,0,100,0,40400,23000,2500,5800,1400,0,100,2012-03-07 00:00:00
200,0,300,0,40300,23200,2500,5800,1400,0,100,2012-03-08 00:00:00
400,0,600,0,40200,23100,2500,5800,1400,0,100,2012-03-09 00:00:00
400,0,400,0,40400,23100,2500,5800,1400,0,100,2012-03-10 00:00:00
200,0,300,100,40600,23200,2500,5800,1400,0,100,2012-03-11 00:00:00
300,0,200,100,40500,23200,2500,5800,1400,0,100,2012-03-12 00:00:00
300,0,400,0,40600,23200,2500,5800,1400,0,100,2012-03-13 00:00:00
300,100,500,0,40700,23000,2500,5800,1400,0,100,2012-03-14 00:00:00
300,200,600,0,40800,23100,2500,5800,1400,0,1000,2012-03-15 00:00:00
300,500,700,0,41200,23200,2500,5800,1700,100,2300,2012-03-16 00:00:00
400,1700,500,0,41200,23100,2600,5800,1800,200,700,2012-03-17 00:00:00
500,1300,400,200,40700,23300,2600,5800,1900,200,500,2012-03-18 00:00:00
500,900,500,300,31100,5900,2600,5800,1700,100,600,2012-03-19 00:00:00
600,1200,700,400,17900,21300,2600,5800,1700,100,400,2012-03-20 00:00:00
700,1200,800,400,9000,30400,2600,5800,1800,100,200,2012-03-21 00:00:00
600,1100,1300,400,4700,34600,2600,5800,2000,100,400,2012-03-22 00:00:00
600,800,1900,200,2500,37300,2500,5800,2400,0,500,2012-03-23 00:00:00
900,700,1400,300,1600,38700,2500,5800,2300,0,600,2012-03-24 00:00:00
1100,1200,1700,200,700,39700,2500,5800,2400,0,400,2012-03-25 00:00:00
1300,1400,2400,200,400,40500,2500,5800,2400,0,500,2012-03-26 00:00:00
1400,1500,3700,300,400,40700,2500,5800,2300,100,300,2012-03-27 00:00:00
1300,1500,5800,700,600,41200,2500,5800,2300,200,300,2012-03-28 00:00:00
1300,1800,7700,1300,600,41900,2500,5800,2300,200,400,2012-03-29 00:00:00
1300,2400,9000,1200,500,42600,2500,5800,2500,200,400,2012-03-30 00:00:00
1500,3300,10000,1800,300,43100,2500,5800,2600,0,600,2012-03-31 00:00:00
1300,3900,10200,1900,100,43300,2500,5800,2800,0,1300,2012-04-01 00:00:00
1100,4400,11300,1800,200,43600,2500,5800,3000,100,3100,2012-04-02 00:00:00
1400,7000,10100,2000,400,43900,2500,5800,3300,600,5000,2012-04-03 00:00:00
1500,7900,8900,2100,400,44300,2600,5800,5100,700,4000,2012-04-04 00:00:00
1300,8100,11100,2200,300,44600,2800,5900,5400,700,2700,2012-04-05 00:00:00
1300,9100,11300,2700,300,44900,3000,5900,5500,600,2300,2012-04-06 00:00:00
1400,8400,10200,3200,200,45300,3100,5900,5700,700,3700,2012-04-07 00:00:00
1500,10200,10200,2700,200,45700,3300,5900,5400,1000,5900,2012-04-08 00:00:00
1700,11100,11200,2400,300,45900,3300,5900,5300,900,4900,2012-04-09 00:00:00
1200,11100,11100,2300,200,46100,3400,5900,5900,900,3300,2012-04-10 00:00:00
900,10200,11500,2800,200,46100,3400,5800,6000,1100,3700,2012-04-11 00:00:00
1000,10400,11800,2700,200,46200,3300,5800,5700,1300,3600,2012-04-12 00:00:00
1000,10800,10500,2800,100,46300,3400,5800,5700,1400,3700,2012-04-13 00:00:00
1100,11200,10700,2600,100,46500,3500,5800,5900,900,4200,2012-04-14 00:00:00
1000,11100,11200,2600,100,46800,3400,5800,6200,1000,3700,2012-04-15 00:00:00
1000,12000,10900,2300,200,47000,3400,5800,6400,900,3700,2012-04-16 00:00:00
1200,11900,10000,2100,100,47200,3600,5800,6600,800,3400,2012-04-17 00:00:00
1100,11700,9400,2600,100,47500,3800,5800,6800,600,3000,2012-04-18 00:00:00
900,12200,10500,2400,300,47500,3900,5800,6700,700,3200,2012-04-19 00:00:00
900,13200,9900,2300,100,47900,3800,5800,7100,700,3200,2012-04-20 00:00:00
900,13100,9500,2100,0,48000,3800,5800,7300,600,3600,2012-04-21 00:00:00
900,12300,9900,2400,100,48100,3900,5800,7200,700,3600,2012-04-22 00:00:00
800,12000,9800,2300,100,48200,4000,5800,6800,900,3700,2012-04-23 00:00:00
1000,11700,8800,2100,200,48300,3900,5800,6800,900,4100,2012-04-24 00:00:00
1000,11500,8600,1900,100,48400,3900,5900,7100,900,3700,2012-04-25 00:00:00
1400,11300,9600,2000,100,48500,3900,6100,7000,1000,3600,2012-04-26 00:00:00
1200,11200,9800,2000,100,48700,3900,6100,7000,1000,3800,2012-04-27 00:00:00
1100,11300,9300,2000,100,48900,3900,6000,7200,1100,3800,2012-04-28 00:00:00
