Burkina Faso,Côte D'Ivoire,Guinea,Mauritania,Niger,Senegal,Mali,Other,Dead,Date
0,0,0,0,0,0,3321600,0,0,2012-01-01 00:00:00
0,0,0,0,0,0,3322000,0,0,2012-01-02 00:00:00
0,0,0,0,0,0,3322400,0,0,2012-01-03 00:00:00
0,0,0,0,0,0,3322800,0,0,2012-01-04 00:00:00
0,0,0,0,0,0,3323200,0,0,2012-01-05 00:00:00
0,0,0,0,0,0,3323600,0,0,2012-01-06 00:00:00
0,0,0,0,0,0,3324000,0,0,2012-01-07 00:00:00
0,0,0,0,0,0,3324400,0,0,2012-01-08 00:00:00
0,0,0,0,0,0,3324800,0,0,2012-01-09 00:00:00
0,0,0,0,0,0,3325200,0,0,2012-01-10 00:00:00
0,0,0,0,0,0,3325600,0,0,2012-01-11 00:00:00
0,0,0,0,0,0,3326000,0,0,2012-01-12 00:00:00
0,0,0,0,0,0,3326400,0,0,2012-01-13 00:00:00
0,0,0,0,0,0,3326800,0,0,2012-01-14 00:00:00
0,0,0,0,0,0,3327200,0,0,2012-01-15 00:00:00
0,0,0,0,0,0,3327600,0,0,2012-01-16 00:00:00
0,0,0,0,0,0,3328000,0,0,2012-01-17 00:00:00
0,0,0,0,0,0,3328400,0,0,2012-01-18 00:00:00
100,0,0,0,100,0,3328400,0,0,2012-01-19 00:00:00
300,0,0,0,300,0,3328400,0,0,2012-01-20 00:00:00
800,0,0,0,500,0,3328100,0,0,2012-01-21 00:00:00
900,0,0,0,800,0,3328000,0,0,2012-01-22 00:00:00
1000,0,0,0,800,0,3328200,0,0,2012-01-23 00:00:00
1100,0,0,100,700,0,3328100,0,0,2012-01-24 00:00:00
1300,0,0,100,300,0,3328300,0,0,2012-01-25 00:00:00
1400,0,0,200,200,0,3328700,0,0,2012-01-26 00:00:00
1400,0,0,500,200,0,3328900,0,0,2012-01-27 00:00:00
1300,0,0,500,0,0,3329400,0,0,2012-01-28 00:00:00
1000,0,0,400,0,0,3329600,0,0,2012-01-29 00:00:00
900,0,0,500,0,0,3329900,0,0,2012-01-30 00:00:00
500,0,0,600,0,0,3330600,0,0,2012-01-31 00:00:00
500,0,0,600,0,0,3331400,0,0,2012-02-01 00:00:00
400,0,0,300,0,0,3331800,0,0,2012-02-02 00:00:00
200,0,0,200,0,0,3332500,0,0,2012-02-03 00:00:00
0,0,0,100,0,0,3332901,0,0,2012-02-04 00:00:00
0,0,0,200,0,0,3332902,0,0,2012-02-05 00:00:00
0,0,0,600,0,0,3330603,0,0,2012-02-06 00:00:00
0,0,0,1700,0,0,3327003,0,0,2012-02-07 00:00:00
0,0,0,1700,0,0,3327103,0,0,2012-02-08 00:00:00
0,0,0,2900,0,0,3325604,0,0,2012-02-09 00:00:00
0,0,0,4400,0,0,3323404,0,0,2012-02-10 00:00:00
0,0,0,5600,0,0,3323504,0,0,2012-02-11 00:00:00
0,0,0,6400,0,0,3323904,0,0,2012-02-12 00:00:00
0,0,0,6800,0,0,3324804,0,0,2012-02-13 00:00:00
0,0,100,6800,0,0,3324804,0,0,2012-02-14 00:00:00
0,0,100,6700,0,0,3325004,0,0,2012-02-15 00:00:00
0,0,100,7500,0,0,3324605,0,0,2012-02-16 00:00:00
0,0,0,7400,0,0,3324905,0,0,2012-02-17 00:00:00
0,0,0,7800,0,0,3325205,0,0,2012-02-18 00:00:00
0,0,0,8000,0,0,3325405,0,0,2012-02-19 00:00:00
0,0,0,8100,0,0,3325605,0,0,2012-02-20 00:00:00
0,0,0,8000,0,0,3325605,0,0,2012-02-21 00:00:00
0,0,200,8300,0,0,3325505,0,0,2012-02-22 00:00:00
0,0,200,8500,0,0,3326105,0,0,2012-02-23 00:00:00
0,0,400,8000,0,0,3326905,0,0,2012-02-24 00:00:00
0,0,300,7800,0,0,3327405,0,0,2012-02-25 00:00:00
100,0,200,8100,0,0,3328305,0,0,2012-02-26 00:00:00
200,0,0,7800,0,0,3328505,0,0,2012-02-27 00:00:00
400,0,0,8000,0,0,3328405,0,0,2012-02-28 00:00:00
300,0,0,8200,0,0,3328505,0,0,2012-02-29 00:00:00
300,0,0,8000,0,0,3329105,0,0,2012-03-01 00:00:00
300,0,200,8300,0,0,3329605,0,0,2012-03-02 00:00:00
400,0,200,8400,0,0,3329605,0,0,2012-03-03 00:00:00
400,0,0,8200,0,0,3329905,0,0,2012-03-04 00:00:00
600,0,100,8000,0,0,3330105,0,0,2012-03-05 00:00:00
600,0,100,8200,0,0,3329605,0,0,2012-03-06 00:00:00
200,0,0,8100,0,0,3330605,0,0,2012-03-07 00:00:00
200,0,0,8000,0,0,3331005,0,0,2012-03-08 00:00:00
700,0,100,8000,0,0,3331105,0,0,2012-03-09 00:00:00
800,0,100,8000,0,0,3331105,0,0,2012-03-10 00:00:00
900,0,0,8100,0,0,3331205,0,0,2012-03-11 00:00:00
700,0,0,8100,0,0,3331905,0,0,2012-03-12 00:00:00
700,0,0,8100,0,0,3332305,0,0,2012-03-13 00:00:00
700,0,100,7900,0,0,3332505,0,0,2012-03-14 00:00:00
500,0,200,7800,0,0,3333105,0,0,2012-03-15 00:00:00
600,0,200,7800,0,0,3333607,0,0,2012-03-16 00:00:00
500,0,100,7800,0,0,3334407,0,0,2012-03-17 00:00:00
1000,0,100,7800,200,0,3333807,0,0,2012-03-18 00:00:00
1700,0,0,51100,500,0,3289607,0,0,2012-03-19 00:00:00
1900,0,0,33500,1200,0,3288807,0,0,2012-03-20 00:00:00
2000,0,0,34900,1400,0,3290407,0,0,2012-03-21 00:00:00
2700,0,100,35900,1200,0,3295008,0,0,2012-03-22 00:00:00
2700,0,100,35600,1500,0,3297108,0,0,2012-03-23 00:00:00
3000,0,100,35000,1400,0,3298708,0,0,2012-03-24 00:00:00
2900,0,100,35500,1600,0,3299308,0,0,2012-03-25 00:00:00
3000,0,200,35000,1500,0,3299709,0,0,2012-03-26 00:00:00
3400,0,0,34900,1600,0,3299609,0,0,2012-03-27 00:00:00
5200,0,0,34600,1700,0,3297909,0,0,2012-03-28 00:00:00
8400,0,0,35000,1800,0,3293509,0,0,2012-03-29 00:00:00
12300,0,200,35000,2000,0,3290009,0,0,2012-03-30 00:00:00
18000,0,100,35100,2100,0,3285009,0,0,2012-03-31 00:00:00
22200,0,200,35300,2200,0,3280109,0,0,2012-04-01 00:00:00
24900,0,200,34900,2200,0,3276709,0,0,2012-04-02 00:00:00
27100,0,300,35000,2800,0,3274010,0,0,2012-04-03 00:00:00
29900,0,100,35100,3300,100,3272710,0,0,2012-04-04 00:00:00
32700,0,100,35300,4000,0,3267310,0,0,2012-04-05 00:00:00
35600,0,100,35300,4700,0,3263910,0,0,2012-04-06 00:00:00
37300,0,100,35400,7000,0,3260310,0,0,2012-04-07 00:00:00
37800,0,200,35500,8900,0,3257410,0,0,2012-04-08 00:00:00
38600,0,200,35400,9700,0,3255510,0,0,2012-04-09 00:00:00
39700,0,200,35400,10600,0,3253510,0,0,2012-04-10 00:00:00
40300,0,0,35000,11100,0,3251710,0,0,2012-04-11 00:00:00
41300,0,0,35000,11900,0,3251410,0,0,2012-04-12 00:00:00
42100,0,0,35200,12500,0,3251010,0,0,2012-04-13 00:00:00
43000,0,0,35300,12500,0,3251310,0,0,2012-04-14 00:00:00
41800,0,100,34900,14100,0,3250710,0,0,2012-04-15 00:00:00
42300,0,100,35000,14700,0,3250610,0,0,2012-04-16 00:00:00
42800,0,0,35100,15100,0,3250410,0,0,2012-04-17 00:00:00
43300,0,0,35000,15500,0,3249310,0,0,2012-04-18 00:00:00
44100,0,0,35000,15600,0,3247910,0,0,2012-04-19 00:00:00
44100,0,0,34900,15900,0,3247710,0,0,2012-04-20 00:00:00
43800,0,0,35000,16000,0,3247910,0,0,2012-04-21 00:00:00
43700,0,100,35200,16000,0,3247110,0,0,2012-04-22 00:00:00
43800,0,200,35000,16200,0,3247410,0,0,2012-04-23 00:00:00
43900,0,200,35000,16100,0,3247710,0,0,2012-04-24 00:00:00
43800,0,200,34900,16400,0,3248511,0,0,2012-04-25 00:00:00
43400,0,200,35200,16500,0,3248111,0,0,2012-04-26 00:00:00
43800,0,200,34900,16600,0,3248611,0,0,2012-04-27 00:00:00
43200,0,200,34900,17300,0,3248811,0,0,2012-04-28 00:00:00
43200,0,200,35300,17600,0,3248211,0,0,2012-04-29 00:00:00
43300,0,200,35000,17800,0,3249411,0,0,2012-04-30 00:00:00
43000,0,100,35000,17900,0,3245260,0,0,2012-05-01 00:00:00
42600,0,400,35000,18100,0,3241761,0,0,2012-05-02 00:00:00
42700,0,2400,35100,18000,0,3229273,0,0,2012-05-03 00:00:00
44100,0,3200,35300,18000,0,3220475,0,0,2012-05-04 00:00:00
61400,0,3400,35300,17900,0,3194579,0,0,2012-05-05 00:00:00
122500,0,4500,35600,17700,0,3120181,0,0,2012-05-06 00:00:00
232200,0,3700,36200,18100,0,2995581,0,0,2012-05-07 00:00:00
353800,0,3200,36700,18100,0,2860281,0,0,2012-05-08 00:00:00
478000,0,3300,36300,18700,0,2727481,0,0,2012-05-09 00:00:00
594400,0,2800,37200,19500,200,2604881,0,0,2012-05-10 00:00:00
694700,0,2300,37100,20900,200,2494881,0,0,2012-05-11 00:00:00
780000,0,1800,37400,25300,100,2395981,0,0,2012-05-12 00:00:00
843300,0,1900,37200,29000,0,2320881,0,0,2012-05-13 00:00:00
892900,0,1800,37100,34200,0,2260881,0,0,2012-05-14 00:00:00
938200,0,1200,36900,38000,0,2207381,0,0,2012-05-15 00:00:00
971200,0,1000,36800,43900,0,2164481,0,0,2012-05-16 00:00:00
1028100,0,1200,37000,48100,0,2098381,0,0,2012-05-17 00:00:00
1049600,0,1300,37000,50100,0,2066981,0,0,2012-05-18 00:00:00
1065300,0,800,36800,53500,0,2043881,0,0,2012-05-19 00:00:00
1078700,0,700,36700,55500,0,2027781,0,0,2012-05-20 00:00:00
1085300,0,600,36500,57700,0,2013081,0,0,2012-05-21 00:00:00
1095700,0,700,36600,59000,0,2003381,0,0,2012-05-22 00:00:00
1104900,0,900,36800,60600,0,1993581,0,0,2012-05-23 00:00:00
1116000,0,700,36700,60800,0,1981481,0,0,2012-05-24 00:00:00
1122600,0,700,36700,63300,0,1965681,0,0,2012-05-25 00:00:00
1129600,0,600,36800,64700,0,1958081,0,0,2012-05-26 00:00:00
1135100,0,500,36900,67100,0,1950981,0,0,2012-05-27 00:00:00
1137500,0,800,36700,69000,0,1943781,0,0,2012-05-28 00:00:00
1140000,0,800,36800,68700,0,1936381,0,0,2012-05-29 00:00:00
1143000,0,1200,36700,68300,0,1930281,0,0,2012-05-30 00:00:00
1143700,0,1000,36900,69800,0,1929581,0,0,2012-05-31 00:00:00
1144800,0,900,36700,71200,0,1931181,0,0,2012-06-01 00:00:00
1145400,0,700,36500,72100,0,1925581,0,0,2012-06-02 00:00:00
1143400,0,500,36600,73500,0,1921581,0,0,2012-06-03 00:00:00
1144200,0,500,36600,73400,0,1916281,0,0,2012-06-04 00:00:00
1143100,0,400,36600,73900,0,1918181,0,0,2012-06-05 00:00:00
1141700,0,400,36800,75000,0,1915781,0,0,2012-06-06 00:00:00
1143600,0,300,36700,74300,0,1911681,0,0,2012-06-07 00:00:00
1145900,0,300,36900,74700,0,1909081,0,0,2012-06-08 00:00:00
1146700,0,400,36800,75800,0,1909181,0,0,2012-06-09 00:00:00
1145300,0,300,36800,76900,0,1907981,0,0,2012-06-10 00:00:00
1143000,0,200,36700,77000,0,1905981,0,0,2012-06-11 00:00:00
1142100,0,300,36700,77400,0,1907381,0,0,2012-06-12 00:00:00
1140100,0,300,36900,77300,0,1906281,0,0,2012-06-13 00:00:00
1138700,0,300,37000,77200,0,1906081,0,0,2012-06-14 00:00:00
1137600,0,500,36900,77600,0,1907081,0,0,2012-06-15 00:00:00
1137200,0,600,36600,77700,0,1903081,0,0,2012-06-16 00:00:00
1137000,0,500,36600,77500,0,1899181,0,0,2012-06-17 00:00:00
1135100,0,500,36800,77400,0,1901081,0,0,2012-06-18 00:00:00
1134800,0,400,36800,78200,0,1899781,0,0,2012-06-19 00:00:00
1131800,0,400,36900,78600,0,1900281,0,0,2012-06-20 00:00:00
1131600,0,400,36900,77700,0,1903481,0,0,2012-06-21 00:00:00
1130300,0,400,36800,78200,0,1901981,0,0,2012-06-22 00:00:00
