Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
0,0,0,0,3321600,0,2012-01-01 00:00:00
0,0,0,0,3322000,0,2012-01-02 00:00:00
0,0,0,0,3322400,0,2012-01-03 00:00:00
0,0,0,0,3322800,0,2012-01-04 00:00:00
0,0,0,0,3323200,0,2012-01-05 00:00:00
0,0,0,0,3323600,0,2012-01-06 00:00:00
0,0,0,0,3324000,0,2012-01-07 00:00:00
0,0,0,0,3324400,0,2012-01-08 00:00:00
0,0,0,0,3324800,0,2012-01-09 00:00:00
0,0,0,0,3325200,0,2012-01-10 00:00:00
0,0,0,0,3325600,0,2012-01-11 00:00:00
0,0,0,0,3326000,0,2012-01-12 00:00:00
0,0,0,0,3326400,0,2012-01-13 00:00:00
0,0,0,0,3326800,0,2012-01-14 00:00:00
0,0,0,0,3327200,0,2012-01-15 00:00:00
0,4000,0,0,3323600,0,2012-01-16 00:00:00
0,4000,0,0,3324000,0,2012-01-17 00:00:00
0,4000,0,0,3324400,0,2012-01-18 00:00:00
0,13500,0,400,3314900,0,2012-01-19 00:00:00
0,13200,0,800,3315200,0,2012-01-20 00:00:00
0,12400,0,1500,3315700,0,2012-01-21 00:00:00
0,11800,100,2000,3316100,0,2012-01-22 00:00:00
0,11600,100,2200,3316500,0,2012-01-23 00:00:00
0,11000,200,2700,3316900,0,2012-01-24 00:00:00
0,10700,300,2900,3317300,0,2012-01-25 00:00:00
0,10400,600,2900,3317700,0,2012-01-26 00:00:00
0,9800,1000,3100,3318100,0,2012-01-27 00:00:00
0,9500,1500,3000,3318400,0,2012-01-28 00:00:00
0,9100,1700,3200,3318800,0,2012-01-29 00:00:00
0,8900,1900,3300,3319100,0,2012-01-30 00:00:00
0,8600,2500,3000,3319500,0,2012-01-31 00:00:00
0,8400,3100,2600,3319900,0,2012-02-01 00:00:00
0,8400,3100,2600,3320300,0,2012-02-02 00:00:00
0,32700,3500,2300,3296300,0,2012-02-03 00:00:00
0,70000,3600,2200,3259300,1,2012-02-04 00:00:00
0,69100,4100,2500,3259700,2,2012-02-05 00:00:00
0,66100,4400,5100,3260100,3,2012-02-06 00:00:00
0,61700,4800,9100,3260500,3,2012-02-07 00:00:00
0,59700,6500,9400,3260900,3,2012-02-08 00:00:00
0,55800,8500,11200,3261300,4,2012-02-09 00:00:00
0,52100,9600,13800,3261700,4,2012-02-10 00:00:00
0,49700,11700,14100,3262100,4,2012-02-11 00:00:00
0,48200,13200,14100,3262500,4,2012-02-12 00:00:00
0,47600,14400,13600,3262800,4,2012-02-13 00:00:00
0,47000,14700,14000,3263100,4,2012-02-14 00:00:00
0,46500,15000,14200,3263500,4,2012-02-15 00:00:00
0,46000,14700,14900,3263900,5,2012-02-16 00:00:00
0,45300,15300,15000,3264300,5,2012-02-17 00:00:00
0,44800,15700,15100,3264700,5,2012-02-18 00:00:00
0,44400,15900,15300,3265100,5,2012-02-19 00:00:00
0,43800,16300,15500,3265500,5,2012-02-20 00:00:00
0,43400,16300,15900,3265900,5,2012-02-21 00:00:00
0,45200,16400,16400,3263900,5,2012-02-22 00:00:00
0,45000,16800,16200,3264300,5,2012-02-23 00:00:00
0,44900,17300,15800,3264700,5,2012-02-24 00:00:00
0,44900,17400,15700,3265100,5,2012-02-25 00:00:00
0,44800,18000,15200,3265500,5,2012-02-26 00:00:00
0,44800,17900,15400,3265800,5,2012-02-27 00:00:00
0,44700,17500,15900,3266200,5,2012-02-28 00:00:00
0,44700,17300,16200,3266500,5,2012-02-29 00:00:00
0,44600,17600,16000,3266900,5,2012-03-01 00:00:00
