Burkina Faso,Côte D'Ivoire,Guinea,Mauritania,Niger,Senegal,Mali,Other,Dead,Date
0,0,0,0,0,0,3321600,0,0,2012-01-01 00:00:00
0,0,0,0,0,0,3322000,0,0,2012-01-02 00:00:00
0,0,0,0,0,0,3322400,0,0,2012-01-03 00:00:00
0,0,0,0,0,0,3322800,0,0,2012-01-04 00:00:00
0,0,0,0,0,0,3323200,0,0,2012-01-05 00:00:00
0,0,0,0,0,0,3323600,0,0,2012-01-06 00:00:00
0,0,0,0,0,0,3324000,0,0,2012-01-07 00:00:00
0,0,0,0,0,0,3324400,0,0,2012-01-08 00:00:00
0,0,0,0,0,0,3324800,0,0,2012-01-09 00:00:00
0,0,0,0,0,0,3325200,0,0,2012-01-10 00:00:00
0,0,0,0,0,0,3325600,0,0,2012-01-11 00:00:00
0,0,0,0,0,0,3326000,0,0,2012-01-12 00:00:00
0,0,0,0,0,0,3326400,0,0,2012-01-13 00:00:00
0,0,0,0,0,0,3326800,0,0,2012-01-14 00:00:00
0,0,0,0,0,0,3327200,0,0,2012-01-15 00:00:00
0,0,0,0,0,0,3327600,0,0,2012-01-16 00:00:00
0,0,0,0,0,0,3328000,0,0,2012-01-17 00:00:00
0,0,0,0,0,0,3328400,0,0,2012-01-18 00:00:00
0,0,0,0,0,0,3328800,0,0,2012-01-19 00:00:00
0,0,0,0,1000,0,3328200,0,0,2012-01-20 00:00:00
0,0,0,0,1000,0,3328600,0,0,2012-01-21 00:00:00
0,0,0,0,1000,0,3327700,0,0,2012-01-22 00:00:00
0,0,0,0,1000,0,3328100,0,0,2012-01-23 00:00:00
1000,0,0,0,0,0,3328500,0,0,2012-01-24 00:00:00
1000,0,0,0,1100,0,3327800,0,0,2012-01-25 00:00:00
1000,0,0,0,1100,0,3328200,0,0,2012-01-26 00:00:00
2100,0,0,0,0,0,3328600,0,0,2012-01-27 00:00:00
2100,0,0,0,0,0,3329000,0,0,2012-01-28 00:00:00
2100,0,0,0,0,0,3329400,0,0,2012-01-29 00:00:00
1100,0,0,0,0,0,3329800,0,0,2012-01-30 00:00:00
1100,0,0,0,0,0,3330200,0,0,2012-01-31 00:00:00
1100,0,0,0,0,0,3330600,0,0,2012-02-01 00:00:00
0,0,0,0,0,0,3331000,0,0,2012-02-02 00:00:00
0,0,0,0,0,0,3331300,0,100,2012-02-03 00:00:00
0,0,0,0,0,0,3333800,0,100,2012-02-04 00:00:00
0,0,0,0,0,0,3334200,0,100,2012-02-05 00:00:00
0,0,0,0,0,0,3334600,0,100,2012-02-06 00:00:00
0,0,0,0,0,0,3335000,0,100,2012-02-07 00:00:00
0,0,0,0,0,0,3335400,0,100,2012-02-08 00:00:00
0,0,0,0,0,0,3335000,0,100,2012-02-09 00:00:00
0,0,0,1000,0,0,3330900,0,100,2012-02-10 00:00:00
0,0,0,1900,0,0,3328100,0,100,2012-02-11 00:00:00
0,0,0,2900,0,0,3327500,0,100,2012-02-12 00:00:00
0,0,0,4900,0,0,3323900,0,100,2012-02-13 00:00:00
0,0,0,4900,0,0,3322900,0,100,2012-02-14 00:00:00
0,0,0,4900,0,0,3323300,0,100,2012-02-15 00:00:00
0,0,0,6300,0,0,3320000,0,100,2012-02-16 00:00:00
0,0,0,6900,0,0,3319200,0,100,2012-02-17 00:00:00
0,0,0,6900,0,0,3319600,0,100,2012-02-18 00:00:00
0,0,0,6900,0,0,3320000,0,100,2012-02-19 00:00:00
0,0,0,6900,0,0,3318700,0,100,2012-02-20 00:00:00
0,0,0,8000,0,0,3318000,0,100,2012-02-21 00:00:00
0,0,0,8000,0,0,3317200,0,100,2012-02-22 00:00:00
0,0,0,8800,0,0,3314700,0,100,2012-02-23 00:00:00
0,0,0,8800,0,0,3315100,0,100,2012-02-24 00:00:00
0,0,0,8800,0,0,3315500,0,100,2012-02-25 00:00:00
0,0,0,8800,0,0,3315900,0,100,2012-02-26 00:00:00
0,0,0,8800,0,0,3316300,0,100,2012-02-27 00:00:00
0,0,0,8800,0,0,3316700,0,100,2012-02-28 00:00:00
0,0,0,8800,0,0,3317100,0,100,2012-02-29 00:00:00
0,0,0,8800,0,0,3317500,0,100,2012-03-01 00:00:00
0,0,0,8800,0,0,3317900,0,100,2012-03-02 00:00:00
0,0,0,8800,0,0,3318300,0,100,2012-03-03 00:00:00
0,0,0,8800,0,0,3318700,0,100,2012-03-04 00:00:00
0,0,0,8800,0,0,3319100,0,100,2012-03-05 00:00:00
0,0,0,8800,0,0,3319500,0,100,2012-03-06 00:00:00
0,0,0,8800,0,0,3319900,0,100,2012-03-07 00:00:00
0,0,0,8800,0,0,3320300,0,100,2012-03-08 00:00:00
0,0,0,8800,0,0,3320700,0,100,2012-03-09 00:00:00
0,0,0,8800,0,0,3321100,0,100,2012-03-10 00:00:00
0,0,0,8800,0,0,3321500,0,100,2012-03-11 00:00:00
0,0,0,8800,0,0,3321900,0,100,2012-03-12 00:00:00
0,0,0,8800,0,0,3322300,0,100,2012-03-13 00:00:00
0,0,0,8800,0,0,3322700,0,100,2012-03-14 00:00:00
0,0,0,8800,0,0,3323100,0,100,2012-03-15 00:00:00
0,0,0,8800,0,0,3323500,0,100,2012-03-16 00:00:00
0,0,0,8800,0,0,3323900,0,100,2012-03-17 00:00:00
1000,0,0,8800,0,0,3323300,0,100,2012-03-18 00:00:00
1000,0,0,58200,0,0,3274300,0,100,2012-03-19 00:00:00
2000,0,0,56000,1000,0,3272700,0,100,2012-03-20 00:00:00
1600,0,0,60500,1500,0,3273000,0,100,2012-03-21 00:00:00
100,0,0,62800,3000,0,3273400,0,100,2012-03-22 00:00:00
100,0,0,63800,3000,0,3273800,0,100,2012-03-23 00:00:00
0,0,0,64500,3100,0,3274200,0,100,2012-03-24 00:00:00
0,0,0,64900,3100,0,3274600,0,100,2012-03-25 00:00:00
0,0,0,64900,3100,0,3275000,0,100,2012-03-26 00:00:00
0,0,0,65000,3100,0,3275400,0,100,2012-03-27 00:00:00
0,0,0,65100,3100,0,3275800,0,100,2012-03-28 00:00:00
1000,0,0,65100,3100,0,3275200,0,100,2012-03-29 00:00:00
5200,0,0,65100,3100,0,3271400,0,100,2012-03-30 00:00:00
6000,0,0,65100,3100,0,3271000,0,100,2012-03-31 00:00:00
9200,0,0,65100,3100,0,3268200,0,100,2012-04-01 00:00:00
9200,0,0,65100,3100,0,3268600,0,100,2012-04-02 00:00:00
11300,0,0,65100,3100,0,3266801,0,100,2012-04-03 00:00:00
11600,0,0,65100,3100,0,3266901,0,100,2012-04-04 00:00:00
14400,0,0,65100,3100,0,3263901,0,100,2012-04-05 00:00:00
14400,0,0,65100,3100,0,3262901,0,100,2012-04-06 00:00:00
14400,0,0,65100,3100,0,3262401,0,100,2012-04-07 00:00:00
14400,0,0,65100,3100,0,3260701,0,100,2012-04-08 00:00:00
15900,0,0,65100,3100,0,3257901,0,100,2012-04-09 00:00:00
14400,0,0,65100,4600,0,3258301,0,100,2012-04-10 00:00:00
15100,0,0,65100,4600,0,3258001,0,100,2012-04-11 00:00:00
15600,0,0,65100,4600,0,3257901,0,100,2012-04-12 00:00:00
14900,0,0,65100,5300,0,3258301,0,100,2012-04-13 00:00:00
14400,0,0,65100,5800,0,3258701,0,100,2012-04-14 00:00:00
14400,0,0,65100,5800,0,3259101,0,100,2012-04-15 00:00:00
14400,0,0,65100,5800,0,3259501,0,100,2012-04-16 00:00:00
14400,0,0,65100,5800,0,3259901,0,100,2012-04-17 00:00:00
14400,0,0,65100,5800,0,3260301,0,100,2012-04-18 00:00:00
14400,0,0,65100,5800,0,3260701,0,100,2012-04-19 00:00:00
14400,0,0,65100,5800,0,3261101,0,100,2012-04-20 00:00:00
14400,0,0,65100,5800,0,3261501,0,100,2012-04-21 00:00:00
14400,0,0,65100,5800,0,3261901,0,100,2012-04-22 00:00:00
14400,0,0,65100,5800,0,3262301,0,100,2012-04-23 00:00:00
14400,0,0,65100,5800,0,3262701,0,100,2012-04-24 00:00:00
14400,0,0,65100,5800,0,3263101,0,100,2012-04-25 00:00:00
14400,0,0,65100,5800,0,3263501,0,100,2012-04-26 00:00:00
14400,0,0,65100,5800,0,3263901,0,100,2012-04-27 00:00:00
14400,0,0,65100,5800,0,3264301,0,100,2012-04-28 00:00:00
14400,0,0,65100,5800,0,3264701,0,100,2012-04-29 00:00:00
14400,0,0,65100,5800,0,3265101,0,100,2012-04-30 00:00:00
14400,0,0,65100,5800,0,3265402,0,100,2012-05-01 00:00:00
14400,0,0,65100,5800,0,3265802,0,100,2012-05-02 00:00:00
14400,0,0,65100,5800,0,3266202,0,100,2012-05-03 00:00:00
14400,0,0,65100,5800,0,3266503,0,100,2012-05-04 00:00:00
15200,0,0,65100,5800,0,3264903,0,100,2012-05-05 00:00:00
27600,0,0,65100,5800,0,3250203,0,100,2012-05-06 00:00:00
52100,0,0,65100,5800,0,3225303,0,100,2012-05-07 00:00:00
103800,0,0,65100,5800,0,3173803,0,100,2012-05-08 00:00:00
154900,0,0,65100,5800,0,3123603,0,100,2012-05-09 00:00:00
215400,0,0,65100,5800,0,3062903,0,100,2012-05-10 00:00:00
276000,0,0,65100,5800,0,2999303,0,100,2012-05-11 00:00:00
353500,0,0,65100,5800,0,2913303,0,100,2012-05-12 00:00:00
387100,0,0,65100,5800,0,2878903,0,100,2012-05-13 00:00:00
416700,0,0,65100,5800,0,2847103,0,100,2012-05-14 00:00:00
435500,0,0,65100,5800,0,2826103,0,100,2012-05-15 00:00:00
447800,0,0,65100,5800,0,2812803,0,100,2012-05-16 00:00:00
461600,0,0,65100,5800,0,2799403,0,100,2012-05-17 00:00:00
464700,0,0,65100,5800,0,2796703,0,100,2012-05-18 00:00:00
469000,0,0,65100,5800,0,2792803,0,100,2012-05-19 00:00:00
469800,0,0,65100,6900,0,2791303,0,100,2012-05-20 00:00:00
469800,0,0,65100,6900,0,2790403,0,100,2012-05-21 00:00:00
469800,0,0,65100,6900,0,2790803,0,100,2012-05-22 00:00:00
471100,0,0,65100,6900,0,2789903,0,100,2012-05-23 00:00:00
473900,0,0,65100,5800,0,2788503,0,100,2012-05-24 00:00:00
473900,0,0,65100,5800,0,2787603,0,100,2012-05-25 00:00:00
473900,0,0,65100,5800,0,2788003,0,100,2012-05-26 00:00:00
473900,0,0,65100,5800,0,2789703,0,100,2012-05-27 00:00:00
473900,0,0,65100,5800,0,2788803,0,100,2012-05-28 00:00:00
473900,0,0,65100,5800,0,2789203,0,100,2012-05-29 00:00:00
473900,0,0,65100,5800,0,2790903,0,100,2012-05-30 00:00:00
473900,0,0,65100,5800,0,2791303,0,100,2012-05-31 00:00:00
473900,0,0,65100,5800,0,2790403,0,100,2012-06-01 00:00:00
473900,0,0,65100,5800,0,2790803,0,100,2012-06-02 00:00:00
473900,0,0,65100,5800,0,2791203,0,100,2012-06-03 00:00:00
473900,0,0,65100,5800,0,2792903,0,100,2012-06-04 00:00:00
473900,0,0,65100,5800,0,2793303,0,100,2012-06-05 00:00:00
473900,0,0,65100,5800,0,2793703,0,100,2012-06-06 00:00:00
473900,0,0,65100,5800,0,2794103,0,100,2012-06-07 00:00:00
473900,0,0,65100,5800,0,2794503,0,100,2012-06-08 00:00:00
473900,0,0,65100,5800,0,2793603,0,100,2012-06-09 00:00:00
473900,0,0,65100,5800,0,2794003,0,100,2012-06-10 00:00:00
473900,0,0,65100,5800,0,2794403,0,100,2012-06-11 00:00:00
473900,0,0,65100,5800,0,2796103,0,100,2012-06-12 00:00:00
473900,0,0,65100,5800,0,2796503,0,100,2012-06-13 00:00:00
473900,0,0,65100,5800,0,2795603,0,100,2012-06-14 00:00:00
473900,0,0,65100,5800,0,2796003,0,100,2012-06-15 00:00:00
473900,0,0,65100,5800,0,2796403,0,100,2012-06-16 00:00:00
473900,0,0,65100,5800,0,2798103,0,100,2012-06-17 00:00:00
473900,0,0,65100,5800,0,2798503,0,100,2012-06-18 00:00:00
473900,0,0,65100,5800,0,2797603,0,100,2012-06-19 00:00:00
473900,0,0,65100,5800,0,2798003,0,100,2012-06-20 00:00:00
473900,0,0,65100,5800,0,2799703,0,100,2012-06-21 00:00:00
473900,0,0,65100,5800,0,2800103,0,100,2012-06-22 00:00:00
473900,0,0,65100,5800,0,2799203,0,100,2012-06-23 00:00:00
473900,0,0,65100,5800,0,2800903,0,100,2012-06-24 00:00:00
