Burkina Faso,C�te D'Ivoire,Guinea,Mauritania,Niger,Senegal,Mali,Other,Dead,Date
0,0,0,0,0,0,3321600,0,0,2012-01-01 00:00:00
0,0,0,0,0,0,3322000,0,0,2012-01-02 00:00:00
0,0,0,0,0,0,3322400,0,0,2012-01-03 00:00:00
0,0,0,0,0,0,3322800,0,0,2012-01-04 00:00:00
0,0,0,0,0,0,3323200,0,0,2012-01-05 00:00:00
0,0,0,0,0,0,3323600,0,0,2012-01-06 00:00:00
0,0,0,0,0,0,3324000,0,0,2012-01-07 00:00:00
0,0,0,0,0,0,3324400,0,0,2012-01-08 00:00:00
0,0,0,0,0,0,3324800,0,0,2012-01-09 00:00:00
0,0,0,0,0,0,3325200,0,0,2012-01-10 00:00:00
0,0,0,0,0,0,3325600,0,0,2012-01-11 00:00:00
0,0,0,0,0,0,3326000,0,0,2012-01-12 00:00:00
0,0,0,0,0,0,3326400,0,0,2012-01-13 00:00:00
0,0,0,0,0,0,3326800,0,0,2012-01-14 00:00:00
0,0,0,0,0,0,3327200,0,0,2012-01-15 00:00:00
0,0,0,0,0,0,3327500,0,100,2012-01-16 00:00:00
0,0,0,0,0,0,3327900,0,100,2012-01-17 00:00:00
0,0,0,0,0,0,3328300,0,100,2012-01-18 00:00:00
0,0,0,0,0,0,3328700,0,100,2012-01-19 00:00:00
0,0,0,0,0,0,3329100,0,100,2012-01-20 00:00:00
0,0,0,0,0,0,3329500,0,100,2012-01-21 00:00:00
0,0,0,0,0,0,3329900,0,100,2012-01-22 00:00:00
0,0,0,0,0,0,3330300,0,100,2012-01-23 00:00:00
0,0,0,0,3000,0,3327700,0,100,2012-01-24 00:00:00
0,0,0,0,3000,0,3328100,0,100,2012-01-25 00:00:00
0,0,0,0,3000,0,3328500,0,100,2012-01-26 00:00:00
3000,0,0,0,0,0,3328900,0,100,2012-01-27 00:00:00
3000,0,0,0,0,0,3329300,0,100,2012-01-28 00:00:00
3600,0,0,0,0,0,3329100,0,100,2012-01-29 00:00:00
3600,0,0,0,0,0,3329500,0,100,2012-01-30 00:00:00
2300,0,0,0,0,0,3329900,0,100,2012-01-31 00:00:00
1700,0,0,0,0,0,3329800,0,100,2012-02-01 00:00:00
2500,0,0,0,0,0,3329400,0,100,2012-02-02 00:00:00
3100,0,0,0,0,0,3329200,0,100,2012-02-03 00:00:00
1400,0,0,0,0,0,3330700,0,100,2012-02-04 00:00:00
1400,0,0,0,0,0,3332800,0,100,2012-02-05 00:00:00
600,0,0,0,0,0,3332700,0,100,2012-02-06 00:00:00
600,0,0,0,0,0,3333600,0,100,2012-02-07 00:00:00
600,0,0,0,0,0,3336100,0,100,2012-02-08 00:00:00
600,0,0,0,0,0,3336500,0,100,2012-02-09 00:00:00
1900,0,0,0,0,0,3335200,0,100,2012-02-10 00:00:00
1900,0,0,3400,0,0,3331100,0,100,2012-02-11 00:00:00
1900,0,0,5100,0,0,3327400,0,100,2012-02-12 00:00:00
1900,0,0,6500,0,0,3327500,0,100,2012-02-13 00:00:00
1900,0,0,6500,0,0,3329100,0,100,2012-02-14 00:00:00
2200,0,0,5500,0,0,3328900,0,100,2012-02-15 00:00:00
2200,0,0,6100,0,0,3327500,0,100,2012-02-16 00:00:00
3900,0,0,6100,0,0,3327400,0,100,2012-02-17 00:00:00
3900,0,0,5600,0,0,3326600,0,100,2012-02-18 00:00:00
3800,0,0,7200,0,0,3320100,0,100,2012-02-19 00:00:00
4200,0,0,7200,0,0,3320700,0,100,2012-02-20 00:00:00
5800,0,0,7200,0,0,3323200,0,100,2012-02-21 00:00:00
7600,0,0,7200,0,0,3322500,0,100,2012-02-22 00:00:00
7000,0,0,7200,0,0,3322400,0,100,2012-02-23 00:00:00
8200,0,0,7200,0,0,3322700,0,100,2012-02-24 00:00:00
8200,0,0,7200,0,0,3322900,0,100,2012-02-25 00:00:00
7000,0,0,7200,0,0,3325000,0,100,2012-02-26 00:00:00
5900,0,0,7200,0,0,3324400,0,100,2012-02-27 00:00:00
5200,0,0,7200,0,0,3322401,0,100,2012-02-28 00:00:00
5200,0,0,7200,0,0,3321301,0,100,2012-02-29 00:00:00
3600,0,0,7200,0,0,3323801,0,100,2012-03-01 00:00:00
7600,0,0,7200,0,0,3322101,0,100,2012-03-02 00:00:00
8100,0,0,7200,0,0,3324701,0,100,2012-03-03 00:00:00
9300,0,0,7200,0,0,3321101,0,100,2012-03-04 00:00:00
9200,0,0,7200,0,0,3320401,0,100,2012-03-05 00:00:00
7400,0,0,7200,0,0,3322101,0,100,2012-03-06 00:00:00
6300,0,0,7200,0,0,3322501,0,100,2012-03-07 00:00:00
8100,0,0,7200,0,0,3321401,0,100,2012-03-08 00:00:00
4700,0,0,7200,0,0,3324101,0,100,2012-03-09 00:00:00
5800,0,0,7200,0,0,3322701,0,100,2012-03-10 00:00:00
4700,0,0,7200,0,0,3325301,0,100,2012-03-11 00:00:00
7500,0,0,7200,0,0,3323901,0,100,2012-03-12 00:00:00
7500,0,0,7200,0,0,3326701,0,100,2012-03-13 00:00:00
7700,0,0,7200,0,0,3325801,0,100,2012-03-14 00:00:00
7700,0,0,7200,0,0,3326201,0,100,2012-03-15 00:00:00
8800,0,0,7200,0,0,3325001,0,100,2012-03-16 00:00:00
8300,0,0,7200,1100,0,3324801,0,100,2012-03-17 00:00:00
8400,0,0,7200,2000,0,3324501,0,100,2012-03-18 00:00:00
11000,0,0,42300,2300,0,3287001,0,100,2012-03-19 00:00:00
10900,0,0,25200,2300,0,3287501,0,100,2012-03-20 00:00:00
9800,0,0,25400,4600,0,3287501,0,100,2012-03-21 00:00:00
9700,0,0,25500,4700,0,3292501,0,100,2012-03-22 00:00:00
10100,0,0,25200,5000,0,3295801,0,100,2012-03-23 00:00:00
7400,0,0,25700,5000,0,3296301,0,100,2012-03-24 00:00:00
7400,0,0,25700,5000,0,3299801,0,100,2012-03-25 00:00:00
5700,0,0,25700,6000,0,3298601,0,100,2012-03-26 00:00:00
6500,0,0,25700,6000,0,3296501,0,100,2012-03-27 00:00:00
8000,0,0,25700,6000,0,3297001,0,100,2012-03-28 00:00:00
10700,0,0,25700,4900,0,3297601,0,100,2012-03-29 00:00:00
11700,0,0,25700,4900,0,3295301,0,100,2012-03-30 00:00:00
15800,0,0,26000,6300,0,3289501,0,100,2012-03-31 00:00:00
18800,0,0,26000,6300,0,3287201,0,100,2012-04-01 00:00:00
24700,0,0,26000,4900,0,3279601,0,100,2012-04-02 00:00:00
28500,0,0,26000,4900,0,3276601,0,100,2012-04-03 00:00:00
34400,0,0,25700,4900,0,3270401,0,100,2012-04-04 00:00:00
34600,0,0,25700,6300,0,3266001,0,100,2012-04-05 00:00:00
35400,0,0,25700,7000,0,3263501,0,100,2012-04-06 00:00:00
37700,0,0,25700,7000,0,3265301,0,100,2012-04-07 00:00:00
45700,0,0,25700,6300,0,3260701,0,100,2012-04-08 00:00:00
44400,0,0,25700,9000,0,3256701,0,100,2012-04-09 00:00:00
45300,0,0,25700,10400,0,3254201,0,100,2012-04-10 00:00:00
51300,0,0,25700,8100,0,3250501,0,100,2012-04-11 00:00:00
49000,0,0,25700,9800,0,3249101,0,100,2012-04-12 00:00:00
46300,0,0,25700,12100,0,3250001,0,100,2012-04-13 00:00:00
44500,0,0,25700,14900,0,3249701,0,100,2012-04-14 00:00:00
45300,0,0,25700,13900,0,3251001,0,100,2012-04-15 00:00:00
47000,0,0,25700,13900,0,3248701,0,100,2012-04-16 00:00:00
48800,0,0,25700,11500,0,3249601,0,100,2012-04-17 00:00:00
48600,0,0,25700,13200,0,3250001,0,100,2012-04-18 00:00:00
47900,0,0,25700,13900,0,3252001,0,100,2012-04-19 00:00:00
46900,0,0,25700,12100,0,3256401,0,100,2012-04-20 00:00:00
45900,0,0,25700,12100,0,3256801,0,100,2012-04-21 00:00:00
43900,0,0,25700,14200,0,3258001,0,100,2012-04-22 00:00:00
42900,0,0,25700,15200,0,3259601,0,100,2012-04-23 00:00:00
43800,0,0,25700,14900,0,3257101,0,100,2012-04-24 00:00:00
44200,0,0,25700,14900,0,3255101,0,100,2012-04-25 00:00:00
46200,0,0,25700,14900,0,3255301,0,100,2012-04-26 00:00:00
44000,0,0,25700,14900,0,3259201,0,100,2012-04-27 00:00:00
40000,0,0,25700,15700,0,3259301,0,100,2012-04-28 00:00:00
40600,0,0,25700,16400,0,3260001,0,100,2012-04-29 00:00:00
39700,0,0,25700,15600,0,3259601,0,100,2012-04-30 00:00:00
38000,0,0,25700,17000,0,3261603,0,100,2012-05-01 00:00:00
38900,0,0,25700,17000,0,3263503,0,100,2012-05-02 00:00:00
38600,0,1200,25700,17000,0,3262403,0,100,2012-05-03 00:00:00
39500,0,4000,25700,16600,0,3249503,0,100,2012-05-04 00:00:00
42500,0,4900,25700,15700,0,3241303,0,100,2012-05-05 00:00:00
51200,0,4400,25700,17100,500,3231003,0,100,2012-05-06 00:00:00
59100,0,2000,25700,19500,500,3207503,0,100,2012-05-07 00:00:00
75200,0,1600,25700,19500,500,3191203,0,100,2012-05-08 00:00:00
89900,0,1600,25700,19000,0,3180503,0,100,2012-05-09 00:00:00
102800,0,2500,25700,19800,0,3162003,0,100,2012-05-10 00:00:00
119100,0,900,25700,18800,0,3150403,0,100,2012-05-11 00:00:00
128100,0,0,25700,20300,0,3130403,0,100,2012-05-12 00:00:00
134600,0,0,25700,25300,0,3125403,0,100,2012-05-13 00:00:00
137800,0,0,25700,23400,0,3131803,0,100,2012-05-14 00:00:00
140600,0,0,25700,27500,0,3126203,0,100,2012-05-15 00:00:00
147800,0,0,25700,28800,0,3118203,0,100,2012-05-16 00:00:00
149200,0,0,25700,28200,0,3114303,0,100,2012-05-17 00:00:00
151600,0,0,25700,30000,0,3107803,0,100,2012-05-18 00:00:00
156300,0,0,26200,32900,0,3100403,0,100,2012-05-19 00:00:00
164800,0,0,25700,37000,0,3092603,0,100,2012-05-20 00:00:00
166000,0,0,25900,38800,0,3094103,0,100,2012-05-21 00:00:00
167500,0,900,25700,38600,0,3089503,0,100,2012-05-22 00:00:00
174300,0,900,26800,37900,0,3081003,0,100,2012-05-23 00:00:00
173900,0,900,25700,39600,0,3082903,0,100,2012-05-24 00:00:00
174700,0,900,25700,42900,0,3084003,0,100,2012-05-25 00:00:00
615700,0,0,25700,43300,0,2577203,0,100,2012-05-26 00:00:00
614900,0,0,25700,44200,0,2585403,0,100,2012-05-27 00:00:00
606100,0,0,25700,47800,0,2608103,0,100,2012-05-28 00:00:00
598000,0,0,25700,49200,0,2614903,0,100,2012-05-29 00:00:00
595700,0,0,25700,48400,0,2618703,0,100,2012-05-30 00:00:00
586200,0,0,25700,49300,0,2627803,0,100,2012-05-31 00:00:00
583800,0,0,25700,51100,0,2638403,0,100,2012-06-01 00:00:00
572900,0,0,25700,52100,0,2639603,0,100,2012-06-02 00:00:00
568900,0,0,25700,52300,0,2647803,0,100,2012-06-03 00:00:00
563400,0,0,25700,54400,0,2648503,0,100,2012-06-04 00:00:00
552100,0,0,25700,59000,0,2659303,0,100,2012-06-05 00:00:00
541600,0,0,25700,60800,0,2668803,0,100,2012-06-06 00:00:00
541300,0,0,26600,59900,0,2678203,0,100,2012-06-07 00:00:00
540700,0,0,25700,59400,0,2683403,0,100,2012-06-08 00:00:00
539600,0,0,25700,61300,0,2684203,0,100,2012-06-09 00:00:00
544000,0,0,25700,59400,0,2682003,0,100,2012-06-10 00:00:00
536000,0,0,25700,60100,0,2684403,0,100,2012-06-11 00:00:00
535300,0,0,25700,61500,0,2679303,0,100,2012-06-12 00:00:00
537100,0,0,25700,62000,0,2688203,0,100,2012-06-13 00:00:00
537700,0,0,25700,61100,0,2688203,0,100,2012-06-14 00:00:00
554600,0,0,25700,62900,0,2658003,0,100,2012-06-15 00:00:00
553800,0,0,25700,64100,0,2653203,0,100,2012-06-16 00:00:00
557500,0,0,25700,62900,0,2659903,0,100,2012-06-17 00:00:00
557100,0,0,25700,62900,0,2658803,0,100,2012-06-18 00:00:00
559700,0,0,25700,63300,0,2658803,0,100,2012-06-19 00:00:00
567700,0,0,25700,67400,0,2646303,0,100,2012-06-20 00:00:00
567100,0,0,25700,71000,0,2644003,0,100,2012-06-21 00:00:00
566100,0,0,25700,71800,0,2643703,0,100,2012-06-22 00:00:00
