Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
0,1324,0.0,0.0,0,0.0,0.0,0,0.0,0.0,698,698.6230011306735,0.0008917558249087465,875,875.3099173553718,0.00035406585624908615,0,0.0,0.0,0,0.0,0.0,0.06842601448567089,1573,19363,19363,0,2897,0,0.06842601448567089
1,2457,808,2.0408415841584158,0,0,0.0,0,0,0.0,698,691,0.01013024602026058,875,874,0.0011441647597254523,0,0,0.0,0,0,0.0,0.08561537666632221,2373,19363,19354,0,4030,9,0.12699870406562186
2,3572,1616,1.2103960396039604,0,0,0.0,0,0,0.0,698,684,0.020467836257309857,875,874,0.0011441647597254523,0,0,0.0,0,0,0.0,0.10187625988525353,3174,19363,19347,0,5145,16,0.18467632803463305
3,4637,2425,0.9121649484536083,0,0,0.0,0,0,0.0,698,677,0.03101920236336775,875,874,0.0011441647597254523,0,0,0.0,0,0,0.0,0.11550592006618066,3976,19363,19341,0,6210,22,0.23979798968440336
4,5584,3233,0.7271883699350448,0,0,0.0,0,0,0.0,698,670,0.04179104477611939,875,873,0.002290950744558984,0,0,0.0,0,0,0.0,0.12316366645975585,4776,19363,19332,0,7157,31,0.2888957644571718
5,6466,4041,0.6000989853996535,0,0,0.0,0,0,0.0,698,663,0.052790346907994,875,873,0.002290950744558984,0,0,0.0,0,0,0.0,0.12739974126778783,5577,19363,19325,0,8039,38,0.33464077197857933
6,7302,4850,0.5055670103092784,0,0,0.0,0,0,0.0,698,655,0.06564885496183215,875,872,0.0034403669724769603,0,0,0.0,0,0,0.0,0.12931614639954445,6377,19363,19317,0,8875,46,0.37805730281544986
7,7981,5658,0.410569105691057,0,0,0.0,0,0,0.0,698,648,0.07716049382716039,875,872,0.0034403669724769603,0,0,0.0,0,0,0.0,0.123045054375971,7178,19363,19310,0,9554,53,0.41335747894800856
8,8680,6503,0.3347685683530679,0,0,0.0,0,0,0.0,698,641,0.08892355694227772,875,872,0.0034403669724769603,0,0,0.0,0,0,0.0,0.11689397502220829,8016,19363,19137,0,10253,226,0.45362036465935335
9,9323,7347,0.26895331427793656,0,0,0.0,0,0,0.0,698,634,0.10094637223974767,875,871,0.004592422502870175,0,0,0.0,0,0,0.0,0.10779453644130366,8852,19363,18962,0,10896,401,0.491716744989244
10,9932,8192,0.21240234375,0,0,0.0,0,0,0.0,698,627,0.11323763955342914,875,871,0.004592422502870175,0,0,0.0,0,0,0.0,0.09659907392623343,9690,19363,18789,0,11505,574,0.528656816141681
11,10444,9036,0.15582115980522349,0,0,0.0,0,0,0.0,698,620,0.12580645161290316,875,870,0.005747126436781658,0,0,0.0,0,0,0.0,0.08010099924787795,10526,19363,18614,0,12017,749,0.5611331749482135
12,10907,9881,0.10383564416557034,0,0,0.0,0,0,0.0,698,613,0.13866231647634586,875,870,0.005747126436781658,0,0,0.0,0,0,0.0,0.06051732552464617,11364,19363,18441,0,12480,922,0.5915044150797704
13,11406,10725,0.0634965034965036,0,0,0.0,0,0,0.0,698,606,0.15181518151815188,875,870,0.005747126436781658,0,0,0.0,0,0,0.0,0.042590463677670116,12201,19363,18267,0,12979,1096,0.6244557353964003
14,11857,11570,0.02480553154710452,0,0,0.0,0,0,0.0,698,599,0.1652754590984975,875,869,0.0069044879171460405,0,0,0.0,0,0,0.0,0.021665837616757864,13038,19363,18093,0,13430,1270,0.6553878803120569
15,12265,12415,0.012082158679017296,0,0,0.0,0,0,0.0,698,591,0.18104906937394238,875,869,0.0069044879171460405,0,0,0.0,0,0,0.0,0.014677158323567164,13875,19363,17919,0,13838,1444,0.6845210624748058
16,12637,13259,0.046911531789727734,0,0,0.0,0,0,0.0,698,584,0.1952054794520548,875,868,0.008064516129032251,0,0,0.0,0,0,0.0,0.04187330928764653,14711,19363,17744,0,14210,1619,0.71223697692099
17,12997,14104,0.07848837209302328,0,0,0.0,0,0,0.0,698,577,0.2097053726169844,875,868,0.008064516129032251,0,0,0.0,0,0,0.0,0.0702862671447271,15549,19363,17571,0,14570,1792,0.7397378019740507
18,13357,14948,0.10643564356435642,0,0,0.0,0,0,0.0,698,570,0.22456140350877196,875,867,0.009227220299884653,0,0,0.0,0,0,0.0,0.0992756955621982,16385,19363,17396,0,14930,1967,0.7678738168823893
19,17293,15793,0.09497878807066429,0,0,0.0,0,0,0.0,698,563,0.23978685612788642,875,867,0.009227220299884653,0,0,0.0,0,0,0.0,0.09539569180746676,17223,19363,17223,0,18866,2140,1.0041184995927563
20,17332,16637,0.04177435835787713,0,0,0.0,0,0,0.0,698,556,0.2553956834532374,875,867,0.009227220299884653,0,0,0.0,0,0,0.0,0.04678848283499446,18060,19363,18060,0,18905,1303,0.9597415790966801
