Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
0,0,0,0,3321600,0,2012-01-01 00:00:00
0,0,0,0,3321900,0,2012-01-02 00:00:00
0,0,0,0,3322200,0,2012-01-03 00:00:00
0,0,0,0,3322500,0,2012-01-04 00:00:00
0,0,0,0,3322800,0,2012-01-05 00:00:00
0,0,0,0,3323100,0,2012-01-06 00:00:00
0,0,0,0,3323400,0,2012-01-07 00:00:00
0,0,0,0,3323700,0,2012-01-08 00:00:00
0,0,0,0,3324000,0,2012-01-09 00:00:00
0,0,0,0,3324300,0,2012-01-10 00:00:00
0,0,0,0,3324600,0,2012-01-11 00:00:00
0,0,0,0,3324900,0,2012-01-12 00:00:00
0,0,0,0,3325200,0,2012-01-13 00:00:00
0,0,0,0,3325500,0,2012-01-14 00:00:00
0,0,0,0,3325800,0,2012-01-15 00:00:00
0,5400,0,0,3320700,0,2012-01-16 00:00:00
0,5400,0,0,3321000,0,2012-01-17 00:00:00
0,5400,0,0,3321300,0,2012-01-18 00:00:00
0,16500,0,300,3310200,0,2012-01-19 00:00:00
0,16500,0,300,3310500,0,2012-01-20 00:00:00
0,16500,0,300,3310800,0,2012-01-21 00:00:00
0,16500,0,300,3311100,0,2012-01-22 00:00:00
0,14400,0,2400,3311400,0,2012-01-23 00:00:00
0,14400,0,2400,3311700,0,2012-01-24 00:00:00
0,14400,0,2400,3312000,0,2012-01-25 00:00:00
0,14400,300,2100,3312300,0,2012-01-26 00:00:00
0,14400,300,2100,3312600,0,2012-01-27 00:00:00
0,14400,300,2100,3312900,0,2012-01-28 00:00:00
0,14400,2400,0,3313200,0,2012-01-29 00:00:00
0,14400,2400,0,3313500,0,2012-01-30 00:00:00
0,14400,2400,0,3313800,0,2012-01-31 00:00:00
0,14400,2400,0,3314100,0,2012-02-01 00:00:00
0,14400,2400,0,3314400,0,2012-02-02 00:00:00
0,34800,2400,0,3294300,0,2012-02-03 00:00:00
0,75000,300,2100,3254400,0,2012-02-04 00:00:00
0,71400,300,5700,3254700,0,2012-02-05 00:00:00
0,71400,300,5700,3255000,0,2012-02-06 00:00:00
0,71400,300,5700,3255300,0,2012-02-07 00:00:00
0,71400,300,5700,3255600,0,2012-02-08 00:00:00
0,71400,3900,2100,3255900,0,2012-02-09 00:00:00
0,71400,3900,2100,3256200,0,2012-02-10 00:00:00
0,68100,3900,5400,3256500,0,2012-02-11 00:00:00
0,66000,3900,7500,3256800,0,2012-02-12 00:00:00
0,61200,3900,12300,3257100,0,2012-02-13 00:00:00
0,61200,11700,4500,3257400,0,2012-02-14 00:00:00
0,56700,11700,9000,3257700,0,2012-02-15 00:00:00
0,56700,11700,9000,3258000,0,2012-02-16 00:00:00
0,54600,11700,11100,3258300,0,2012-02-17 00:00:00
0,51300,6900,19200,3258600,0,2012-02-18 00:00:00
0,51300,7200,18900,3258900,0,2012-02-19 00:00:00
0,51300,7200,18900,3259200,0,2012-02-20 00:00:00
0,51300,12000,14100,3259500,0,2012-02-21 00:00:00
0,53100,11700,14400,3258000,0,2012-02-22 00:00:00
0,53100,11700,14400,3258300,0,2012-02-23 00:00:00
0,49800,11700,17700,3258600,0,2012-02-24 00:00:00
0,49800,15300,14100,3258900,0,2012-02-25 00:00:00
0,49800,13200,16200,3259200,0,2012-02-26 00:00:00
0,49800,15300,14100,3259500,0,2012-02-27 00:00:00
0,49800,15300,14100,3259800,0,2012-02-28 00:00:00
0,49800,12000,17400,3260100,0,2012-02-29 00:00:00
0,49800,12000,17400,3260400,0,2012-03-01 00:00:00
0,49800,15300,14100,3260700,0,2012-03-02 00:00:00
0,49800,7200,22200,3261000,0,2012-03-03 00:00:00
0,49800,12000,17400,3261300,0,2012-03-04 00:00:00
0,49800,9900,19500,3261600,0,2012-03-05 00:00:00
0,49800,9900,19500,3261900,0,2012-03-06 00:00:00
0,49800,9900,19500,3262200,0,2012-03-07 00:00:00
0,49800,9900,19500,3262500,0,2012-03-08 00:00:00
0,49800,12000,17400,3262800,0,2012-03-09 00:00:00
0,49800,10500,18900,3263100,0,2012-03-10 00:00:00
0,49800,10500,18900,3263400,0,2012-03-11 00:00:00
0,49800,10500,18900,3263700,0,2012-03-12 00:00:00
0,49800,7200,22200,3264000,0,2012-03-13 00:00:00
0,49800,7200,22200,3264300,0,2012-03-14 00:00:00
0,56700,10200,19200,3257700,0,2012-03-15 00:00:00
0,54900,10200,21000,3258000,0,2012-03-16 00:00:00
0,54900,6900,24300,3258300,0,2012-03-17 00:00:00
0,54900,7200,24000,3258600,0,2012-03-18 00:00:00
0,39900,6600,60300,3238200,0,2012-03-19 00:00:00
0,39900,6600,60300,3238500,0,2012-03-20 00:00:00
0,36900,12600,57300,3238800,0,2012-03-21 00:00:00
0,141000,15300,54600,3135000,0,2012-03-22 00:00:00
0,141000,15300,54600,3135300,0,2012-03-23 00:00:00
0,141000,24300,45600,3135600,0,2012-03-24 00:00:00
0,141000,21900,48000,3135900,0,2012-03-25 00:00:00
0,138000,21900,51000,3136200,0,2012-03-26 00:00:00
0,134400,21600,54900,3136500,0,2012-03-27 00:00:00
0,134400,23700,52800,3136800,0,2012-03-28 00:00:00
0,132900,16500,61500,3137100,0,2012-03-29 00:00:00
0,128400,16500,66000,3137400,0,2012-03-30 00:00:00
0,115800,19500,75900,3137400,0,2012-03-31 00:00:00
0,114300,23700,72900,3138000,0,2012-04-01 00:00:00
0,120300,27900,69000,3132000,0,2012-04-02 00:00:00
0,123600,29400,67500,3129000,0,2012-04-03 00:00:00
0,121800,20400,78300,3129300,0,2012-04-04 00:00:00
0,116700,20400,83400,3129600,0,2012-04-05 00:00:00
0,115500,27600,77400,3129900,0,2012-04-06 00:00:00
0,128400,32400,76200,3113700,0,2012-04-07 00:00:00
0,128400,28800,79800,3114000,0,2012-04-08 00:00:00
0,128400,20100,88500,3114300,0,2012-04-09 00:00:00
0,128400,20700,87900,3114600,0,2012-04-10 00:00:00
0,125400,23700,87900,3114900,0,2012-04-11 00:00:00
0,122100,23700,91200,3115200,0,2012-04-12 00:00:00
0,117600,24300,95100,3115500,0,2012-04-13 00:00:00
0,117600,24300,95100,3115800,0,2012-04-14 00:00:00
0,117600,24300,95100,3116100,0,2012-04-15 00:00:00
0,117600,29400,90000,3116400,0,2012-04-16 00:00:00
0,117600,24900,94500,3116700,0,2012-04-17 00:00:00
0,117600,23100,96300,3117000,0,2012-04-18 00:00:00
0,117600,23400,96000,3117300,0,2012-04-19 00:00:00
0,117600,22800,96600,3117600,0,2012-04-20 00:00:00
0,117600,18300,101100,3117900,0,2012-04-21 00:00:00
0,117600,15300,104100,3118200,0,2012-04-22 00:00:00
0,117600,15900,103500,3118500,0,2012-04-23 00:00:00
0,117600,25500,93900,3118800,0,2012-04-24 00:00:00
0,117600,25200,94200,3119100,0,2012-04-25 00:00:00
0,117600,26400,93000,3119400,0,2012-04-26 00:00:00
0,117600,21600,97800,3119700,0,2012-04-27 00:00:00
0,117600,21600,97800,3120000,0,2012-04-28 00:00:00
0,117600,21300,98100,3120300,0,2012-04-29 00:00:00
0,2072400,20400,99000,1165800,0,2012-04-30 00:00:00
0,2072700,20400,99000,1165800,0,2012-05-01 00:00:00
0,2072700,25200,94200,1166100,0,2012-05-02 00:00:00
0,2073000,26100,93300,1166100,0,2012-05-03 00:00:00
0,2073000,26100,93300,1166400,0,2012-05-04 00:00:00
0,2058600,25200,108600,1166700,0,2012-05-05 00:00:00
0,2041500,31200,120300,1166400,0,2012-05-06 00:00:00
0,2014800,35400,142800,1166700,0,2012-05-07 00:00:00
0,1961400,46500,185100,1167000,0,2012-05-08 00:00:00
0,1930800,58800,204000,1166700,0,2012-05-09 00:00:00
0,1912500,64800,216000,1167300,0,2012-05-10 00:00:00
0,1887900,70500,235500,1167000,0,2012-05-11 00:00:00
0,1857300,78900,257400,1167300,1,2012-05-12 00:00:00
0,1848600,92400,252600,1167600,1,2012-05-13 00:00:00
0,1834800,93900,265200,1167600,1,2012-05-14 00:00:00
0,1837800,96000,279900,1148100,1,2012-05-15 00:00:00
0,1832700,106800,274200,1148400,1,2012-05-16 00:00:00
0,1826100,128700,259200,1148400,1,2012-05-17 00:00:00
