Dead,IDP,Returnee,Refugee,Resident,Fleeing from conflict,Date
0,0,0,0,3321600,0,2012-01-01 00:00:00
0,0,0,0,3321900,0,2012-01-02 00:00:00
0,0,0,0,3322500,0,2012-01-03 00:00:00
0,0,0,0,3323100,0,2012-01-04 00:00:00
0,0,0,0,3323700,0,2012-01-05 00:00:00
0,0,0,0,3324300,0,2012-01-06 00:00:00
0,0,0,0,3324900,0,2012-01-07 00:00:00
0,0,0,0,3325500,0,2012-01-08 00:00:00
0,0,0,0,3326100,0,2012-01-09 00:00:00
0,0,0,0,3326700,0,2012-01-10 00:00:00
0,0,0,0,3327300,0,2012-01-11 00:00:00
0,0,0,0,3327900,0,2012-01-12 00:00:00
0,0,0,0,3328500,0,2012-01-13 00:00:00
0,0,0,0,3329100,0,2012-01-14 00:00:00
0,0,0,0,3329700,0,2012-01-15 00:00:00
0,3900,0,0,3326400,0,2012-01-16 00:00:00
0,3900,0,0,3327000,0,2012-01-17 00:00:00
0,3900,0,0,3327600,0,2012-01-18 00:00:00
300,16200,0,0,3315600,0,2012-01-19 00:00:00
300,16200,0,0,3316200,0,2012-01-20 00:00:00
300,16200,0,0,3316800,0,2012-01-21 00:00:00
300,15900,0,300,3317400,0,2012-01-22 00:00:00
300,15900,0,300,3318000,0,2012-01-23 00:00:00
300,15600,300,300,3318600,0,2012-01-24 00:00:00
300,15600,600,0,3319200,0,2012-01-25 00:00:00
300,15000,600,600,3319800,0,2012-01-26 00:00:00
300,15000,600,600,3320400,0,2012-01-27 00:00:00
300,14700,600,900,3321000,0,2012-01-28 00:00:00
300,14700,1200,300,3321600,0,2012-01-29 00:00:00
300,14700,1200,300,3322200,0,2012-01-30 00:00:00
300,14700,1200,300,3322800,0,2012-01-31 00:00:00
300,14400,1200,600,3323400,0,2012-02-01 00:00:00
300,14400,1200,600,3324000,0,2012-02-02 00:00:00
300,35100,1500,600,3303600,0,2012-02-03 00:00:00
300,67800,1800,600,3271200,0,2012-02-04 00:00:00
300,67800,1800,2100,3270300,0,2012-02-05 00:00:00
300,67500,2100,2100,3270900,0,2012-02-06 00:00:00
300,67200,2700,1800,3271500,0,2012-02-07 00:00:00
300,64800,3300,3600,3272100,0,2012-02-08 00:00:00
300,64200,3600,3900,3272700,0,2012-02-09 00:00:00
300,63900,3900,3900,3273300,0,2012-02-10 00:00:00
300,63900,5100,2700,3273900,0,2012-02-11 00:00:00
300,63600,6900,1200,3274500,0,2012-02-12 00:00:00
300,63600,6600,1500,3275100,0,2012-02-13 00:00:00
300,63600,6900,1200,3275700,0,2012-02-14 00:00:00
300,63600,7200,900,3276300,0,2012-02-15 00:00:00
300,63600,7200,900,3276900,0,2012-02-16 00:00:00
300,63600,6900,1200,3277500,0,2012-02-17 00:00:00
300,63600,6900,1200,3278100,0,2012-02-18 00:00:00
300,62100,6900,2700,3278700,0,2012-02-19 00:00:00
300,60000,8700,3000,3279300,0,2012-02-20 00:00:00
300,59100,8700,3900,3279900,0,2012-02-21 00:00:00
300,58200,8700,4800,3280500,0,2012-02-22 00:00:00
300,58200,8700,4800,3281100,0,2012-02-23 00:00:00
300,58200,8700,4800,3281400,1,2012-02-24 00:00:00
300,58500,9300,4200,3282000,0,2012-02-25 00:00:00
300,57900,9900,4200,3282600,0,2012-02-26 00:00:00
300,55800,9000,7200,3283200,0,2012-02-27 00:00:00
300,55800,9300,6900,3283800,0,2012-02-28 00:00:00
300,54000,10500,7500,3284400,0,2012-02-29 00:00:00
300,54000,10500,7500,3285000,0,2012-03-01 00:00:00
300,54000,10800,7200,3285600,0,2012-03-02 00:00:00
300,53700,9000,9300,3286200,0,2012-03-03 00:00:00
300,51900,7500,12600,3286800,0,2012-03-04 00:00:00
300,50700,9300,12000,3287400,0,2012-03-05 00:00:00
300,50700,12900,8400,3288000,0,2012-03-06 00:00:00
300,50400,10200,11400,3288600,0,2012-03-07 00:00:00
300,50400,11700,9900,3289200,0,2012-03-08 00:00:00
300,50400,14700,6900,3289800,0,2012-03-09 00:00:00
300,50400,16500,5100,3290400,0,2012-03-10 00:00:00
300,52200,15600,6300,3288900,0,2012-03-11 00:00:00
300,52200,15600,6300,3289500,0,2012-03-12 00:00:00
300,52200,15600,6300,3290100,0,2012-03-13 00:00:00
300,52200,15000,6900,3290700,0,2012-03-14 00:00:00
600,61800,15000,6900,3281400,0,2012-03-15 00:00:00
600,61500,14400,7800,3282000,0,2012-03-16 00:00:00
600,61200,12300,10200,3282600,0,2012-03-17 00:00:00
600,60900,13200,9600,3283200,0,2012-03-18 00:00:00
600,75900,13500,8700,3264900,15,2012-03-19 00:00:00
600,77700,14700,8700,3265500,5,2012-03-20 00:00:00
600,73500,16200,7500,3266100,18,2012-03-21 00:00:00
6300,138000,14700,9300,3194100,25,2012-03-22 00:00:00
6300,139800,14700,13500,3191700,15,2012-03-23 00:00:00
6300,137700,14400,14400,3192000,21,2012-03-24 00:00:00
6300,135300,15300,16200,3192600,20,2012-03-25 00:00:00
6300,130800,15600,20700,3193200,19,2012-03-26 00:00:00
6300,127200,16800,23700,3193800,17,2012-03-27 00:00:00
6300,120900,16800,27900,3194400,24,2012-03-28 00:00:00
6300,116400,18000,33600,3195000,16,2012-03-29 00:00:00
6300,109200,24900,34800,3194700,16,2012-03-30 00:00:00
6300,104100,26400,36300,3195300,23,2012-03-31 00:00:00
6300,101100,30600,36000,3195900,20,2012-04-01 00:00:00
6300,102600,33900,34500,3192300,23,2012-04-02 00:00:00
6900,105300,33300,39300,3188700,12,2012-04-03 00:00:00
6900,105000,35700,36900,3189300,13,2012-04-04 00:00:00
6900,100500,39600,35700,3189900,19,2012-04-05 00:00:00
6900,97500,43800,36000,3190500,14,2012-04-06 00:00:00
7200,100200,41400,37800,3186300,22,2012-04-07 00:00:00
7200,98100,48000,33300,3186600,23,2012-04-08 00:00:00
7200,95400,44700,39900,3186900,22,2012-04-09 00:00:00
7200,93000,48300,39600,3187500,19,2012-04-10 00:00:00
7200,90000,55500,34500,3188100,22,2012-04-11 00:00:00
7200,87300,59400,34200,3188700,19,2012-04-12 00:00:00
7200,85500,60300,33300,3189300,25,2012-04-13 00:00:00
7200,85800,58500,35700,3189900,22,2012-04-14 00:00:00
7200,84300,59100,36900,3190200,22,2012-04-15 00:00:00
7200,83700,65700,31800,3190800,19,2012-04-16 00:00:00
7200,80700,64200,34200,3191400,26,2012-04-17 00:00:00
7200,80400,66900,32700,3192000,23,2012-04-18 00:00:00
7200,81000,65400,33600,3192600,23,2012-04-19 00:00:00
7200,79500,67800,32400,3193200,24,2012-04-20 00:00:00
7200,79500,68700,32100,3193800,22,2012-04-21 00:00:00
7200,79200,71400,28800,3194400,25,2012-04-22 00:00:00
7200,77700,69300,33300,3195000,22,2012-04-23 00:00:00
7200,76800,71700,30900,3195600,25,2012-04-24 00:00:00
7200,76800,75900,28500,3196200,19,2012-04-25 00:00:00
7200,76800,75600,28800,3196800,19,2012-04-26 00:00:00
7200,76500,77400,25200,3197400,26,2012-04-27 00:00:00
7200,76200,79200,24000,3198000,25,2012-04-28 00:00:00
7200,76200,79800,23400,3198600,25,2012-04-29 00:00:00
42000,1923000,81000,22500,1318200,22,2012-04-30 00:00:00
42000,1970700,81300,92700,1197900,31,2012-05-01 00:00:00
42000,1958100,84000,103200,1197900,31,2012-05-02 00:00:00
42000,1920300,96000,128700,1198200,33,2012-05-03 00:00:00
42000,1835400,111900,195900,1198500,40,2012-05-04 00:00:00
42000,1722300,126300,293100,1198800,46,2012-05-05 00:00:00
42000,1579500,141900,417600,1198800,57,2012-05-06 00:00:00
42000,1437000,168300,533400,1199100,59,2012-05-07 00:00:00
42000,1319700,220800,597300,1199700,62,2012-05-08 00:00:00
42000,1215900,285600,634500,1200000,69,2012-05-09 00:00:00
42000,1132500,342600,660000,1200300,73,2012-05-10 00:00:00
42000,1054200,413400,666900,1200600,76,2012-05-11 00:00:00
42000,989700,475200,671400,1201200,70,2012-05-12 00:00:00
42000,936300,544200,653100,1201800,79,2012-05-13 00:00:00
42000,891000,592800,649500,1202400,80,2012-05-14 00:00:00
42900,879000,625800,648600,1183200,76,2012-05-15 00:00:00
