event_date,COUNTRY,location,fatalities
11-February-2012,Algeria,Adrar,7
21-July-2012,Algeria,Adrar,8
01-December-2012,Algeria,Adrar,4
16-February-2013,Algeria,Adrar,4
09-March-2013,Algeria,Adrar,0
30-March-2013,Algeria,Adrar,9
20-April-2013,Algeria,Adrar,1
11-May-2013,Algeria,Adrar,0
25-May-2013,Algeria,Adrar,8
27-July-2013,Algeria,Adrar,8
28-September-2013,Algeria,Adrar,2
05-October-2013,Algeria,Adrar,3
19-October-2013,Algeria,Adrar,0
09-November-2013,Algeria,Adrar,0
30-November-2013,Algeria,Adrar,1
29-September-2012,Algeria,Adrar,2
20-April-2013,Algeria,Adrar,0
22-June-2013,Algeria,Adrar,0
10-August-2013,Algeria,Adrar,9
17-August-2013,Algeria,Adrar,15
01-December-2012,Algeria,Adrar,0
10-August-2013,Algeria,Adrar,0
17-November-2012,Algeria,Adrar,0
24-November-2012,Algeria,Adrar,0
12-January-2013,Algeria,Adrar,0
17-August-2013,Algeria,Adrar,2
28-September-2013,Algeria,Adrar,0
17-March-2012,Algeria,Ain Defla,1
05-May-2012,Algeria,Ain Defla,0
30-November-2013,Algeria,Ain Defla,0
01-September-2012,Algeria,Ain Defla,0
18-August-2012,Algeria,Alger,3
15-September-2012,Algeria,Alger,7
04-May-2013,Algeria,Alger,0
18-May-2013,Algeria,Alger,0
28-April-2012,Algeria,Alger,0
26-May-2012,Algeria,Alger,0
11-August-2012,Algeria,Alger,0
08-September-2012,Algeria,Alger,0
29-September-2012,Algeria,Alger,0
10-November-2012,Algeria,Alger,0
23-February-2013,Algeria,Alger,0
16-March-2013,Algeria,Alger,0
23-March-2013,Algeria,Alger,0
20-April-2013,Algeria,Alger,0
27-April-2013,Algeria,Alger,0
04-May-2013,Algeria,Alger,0
18-May-2013,Algeria,Alger,0
22-June-2013,Algeria,Alger,0
29-June-2013,Algeria,Alger,0
06-July-2013,Algeria,Alger,0
10-August-2013,Algeria,Alger,0
28-September-2013,Algeria,Alger,0
05-October-2013,Algeria,Alger,0
30-November-2013,Algeria,Alger,0
04-February-2012,Algeria,Alger,0
14-April-2012,Algeria,Alger,0
19-May-2012,Algeria,Alger,0
30-June-2012,Algeria,Alger,0
08-September-2012,Algeria,Alger,0
15-September-2012,Algeria,Alger,0
23-February-2013,Algeria,Alger,0
16-March-2013,Algeria,Alger,0
25-May-2013,Algeria,Alger,0
22-June-2013,Algeria,Alger,0
07-December-2013,Algeria,Alger,0
28-January-2012,Algeria,Alger,1
27-April-2013,Algeria,Alger,0
09-November-2013,Algeria,Alger,0
07-July-2012,Algeria,Alger,0
27-April-2013,Algeria,Alger,0
22-June-2013,Algeria,Alger,0
21-December-2013,Algeria,Alger,0
04-February-2012,Algeria,Alger,0
03-November-2012,Algeria,Alger,0
17-March-2012,Algeria,Alger,0
14-September-2013,Algeria,Alger,0
28-September-2013,Algeria,Alger,0
02-June-2012,Algeria,Annaba,0
02-March-2013,Algeria,Annaba,0
23-March-2013,Algeria,Annaba,0
30-March-2013,Algeria,Annaba,0
04-May-2013,Algeria,Annaba,0
01-June-2013,Algeria,Annaba,0
26-May-2012,Algeria,Annaba,0
18-May-2013,Algeria,Annaba,0
06-July-2013,Algeria,Annaba,2
31-August-2013,Algeria,Batna,1
30-June-2012,Algeria,Batna,0
07-July-2012,Algeria,Bechar,0
20-October-2012,Algeria,Bejaia,1
10-November-2012,Algeria,Bejaia,3
29-December-2012,Algeria,Bejaia,2
04-May-2013,Algeria,Bejaia,3
21-April-2012,Algeria,Bejaia,0
16-February-2013,Algeria,Bejaia,0
20-April-2013,Algeria,Bejaia,0
01-June-2013,Algeria,Bejaia,0
15-June-2013,Algeria,Bejaia,0
01-June-2013,Algeria,Bejaia,0
27-July-2013,Algeria,Biskra,3
01-June-2013,Algeria,Biskra,0
24-November-2012,Algeria,Biskra,0
14-July-2012,Algeria,Biskra,0
16-June-2012,Algeria,Blida,10
18-August-2012,Algeria,Blida,0
07-July-2012,Algeria,Blida,1
23-June-2012,Algeria,Blida,0
30-June-2012,Algeria,Blida,0
07-July-2012,Algeria,Blida,0
28-July-2012,Algeria,Blida,0
29-June-2013,Algeria,Bordj Bou Arreridj,3
20-July-2013,Algeria,Bordj Bou Arreridj,1
23-February-2013,Algeria,Bordj Bou Arreridj,0
28-April-2012,Algeria,Bouira,2
16-June-2012,Algeria,Bouira,1
21-July-2012,Algeria,Bouira,0
25-August-2012,Algeria,Bouira,1
15-December-2012,Algeria,Bouira,1
26-January-2013,Algeria,Bouira,3
11-May-2013,Algeria,Bouira,3
25-May-2013,Algeria,Bouira,1
08-June-2013,Algeria,Bouira,0
29-June-2013,Algeria,Bouira,7
13-July-2013,Algeria,Bouira,4
03-August-2013,Algeria,Bouira,1
17-August-2013,Algeria,Bouira,0
05-May-2012,Algeria,Bouira,1
13-July-2013,Algeria,Bouira,0
20-July-2013,Algeria,Bouira,2
07-September-2013,Algeria,Bouira,1
21-September-2013,Algeria,Bouira,0
28-September-2013,Algeria,Bouira,0
05-October-2013,Algeria,Bouira,0
07-July-2012,Algeria,Bouira,0
25-May-2013,Algeria,Bouira,0
15-June-2013,Algeria,Bouira,0
30-June-2012,Algeria,Bouira,0
22-September-2012,Algeria,Bouira,0
20-April-2013,Algeria,Bouira,0
24-November-2012,Algeria,Bouira,0
15-December-2012,Algeria,Bouira,0
06-April-2013,Algeria,Bouira,0
17-August-2013,Algeria,Bouira,0
07-January-2012,Algeria,Boumerdes,4
04-February-2012,Algeria,Boumerdes,2
18-February-2012,Algeria,Boumerdes,14
25-February-2012,Algeria,Boumerdes,2
10-March-2012,Algeria,Boumerdes,3
24-March-2012,Algeria,Boumerdes,2
19-May-2012,Algeria,Boumerdes,1
07-July-2012,Algeria,Boumerdes,0
14-July-2012,Algeria,Boumerdes,2
18-August-2012,Algeria,Boumerdes,3
25-August-2012,Algeria,Boumerdes,9
01-September-2012,Algeria,Boumerdes,9
13-October-2012,Algeria,Boumerdes,2
17-November-2012,Algeria,Boumerdes,4
01-December-2012,Algeria,Boumerdes,2
22-December-2012,Algeria,Boumerdes,1
29-December-2012,Algeria,Boumerdes,13
23-February-2013,Algeria,Boumerdes,8
04-May-2013,Algeria,Boumerdes,3
03-August-2013,Algeria,Boumerdes,0
31-August-2013,Algeria,Boumerdes,2
07-September-2013,Algeria,Boumerdes,1
21-September-2013,Algeria,Boumerdes,7
07-January-2012,Algeria,Boumerdes,0
14-January-2012,Algeria,Boumerdes,0
18-February-2012,Algeria,Boumerdes,9
03-March-2012,Algeria,Boumerdes,2
28-April-2012,Algeria,Boumerdes,2
05-May-2012,Algeria,Boumerdes,0
07-July-2012,Algeria,Boumerdes,0
29-September-2012,Algeria,Boumerdes,0
16-February-2013,Algeria,Boumerdes,0
30-March-2013,Algeria,Boumerdes,0
10-August-2013,Algeria,Boumerdes,0
04-May-2013,Algeria,Boumerdes,2
30-November-2013,Algeria,Boumerdes,0
17-August-2013,Algeria,Boumerdes,0
21-July-2012,Algeria,Boumerdes,1
20-October-2012,Algeria,Boumerdes,1
09-February-2013,Algeria,Chlef,2
16-February-2013,Algeria,Chlef,4
19-May-2012,Algeria,Chlef,0
30-June-2012,Algeria,Chlef,0
05-May-2012,Algeria,Chlef,0
09-March-2013,Algeria,Constantine,2
21-December-2013,Algeria,Constantine,3
04-August-2012,Algeria,Constantine,0
11-August-2012,Algeria,Constantine,0
23-March-2013,Algeria,Constantine,0
01-June-2013,Algeria,Constantine,0
07-December-2013,Algeria,Constantine,0
16-March-2013,Algeria,Constantine,0
27-April-2013,Algeria,Djanet,8
28-July-2012,Algeria,Djelfa,0
29-June-2013,Algeria,Djelfa,0
01-June-2013,Algeria,Djelfa,5
29-June-2013,Algeria,El Oued,2
13-July-2013,Algeria,El Oued,3
30-March-2013,Algeria,El Oued,0
29-June-2013,Algeria,El Oued,0
09-March-2013,Algeria,Ghardaia,0
16-March-2013,Algeria,Ghardaia,0
13-April-2013,Algeria,Ghardaia,0
04-May-2013,Algeria,Ghardaia,0
28-September-2013,Algeria,Ghardaia,0
16-November-2013,Algeria,Ghardaia,0
21-December-2013,Algeria,Ghardaia,1
28-December-2013,Algeria,Ghardaia,1
23-March-2013,Algeria,Ghardaia,0
02-February-2013,Algeria,Ghardaia,0
23-November-2013,Algeria,Ghardaia,0
08-December-2012,Algeria,Illizi,3
18-May-2013,Algeria,Illizi,0
22-June-2013,Algeria,Illizi,7
09-November-2013,Algeria,Illizi,5
12-January-2013,Algeria,Illizi,54
19-January-2013,Algeria,Illizi,18
17-November-2012,Algeria,Illizi,0
07-September-2013,Algeria,Illizi,0
19-January-2013,Algeria,Illizi,0
12-January-2013,Algeria,Illizi,0
19-May-2012,Algeria,Illizi,0
12-January-2013,Algeria,Illizi,2
28-January-2012,Algeria,Jijel,1
11-August-2012,Algeria,Jijel,4
12-May-2012,Algeria,Jijel,1
04-August-2012,Algeria,Jijel,0
28-April-2012,Algeria,Jijel,1
31-March-2012,Algeria,Khenchela,9
11-August-2012,Algeria,Khenchela,4
10-November-2012,Algeria,Khenchela,0
02-February-2013,Algeria,Khenchela,2
31-March-2012,Algeria,Khenchela,0
21-April-2012,Algeria,Khenchela,0
30-June-2012,Algeria,Khenchela,0
06-July-2013,Algeria,Khenchela,2
11-May-2013,Algeria,Khenchela,0
09-November-2013,Algeria,Khenchela,0
07-July-2012,Algeria,Khenchela,0
24-November-2012,Algeria,Khenchela,0
02-February-2013,Algeria,Khenchela,0
07-January-2012,Algeria,Laghouat,0
29-September-2012,Algeria,Laghouat,0
16-February-2013,Algeria,Laghouat,0
23-March-2013,Algeria,Laghouat,0
14-September-2013,Algeria,Laghouat,0
07-January-2012,Algeria,Laghouat,0
16-February-2013,Algeria,Laghouat,0
23-February-2013,Algeria,Laghouat,0
07-January-2012,Algeria,Laghouat,0
21-July-2012,Algeria,Laghouat,0
06-October-2012,Algeria,Mascara,1
22-December-2012,Algeria,Medea,4
12-January-2013,Algeria,Medea,3
30-March-2013,Algeria,Medea,1
22-December-2012,Algeria,Medea,2
01-June-2013,Algeria,Medea,0
23-February-2013,Algeria,Medea,0
16-March-2013,Algeria,Oran,0
23-March-2013,Algeria,Oran,0
09-November-2013,Algeria,Oran,0
30-November-2013,Algeria,Oran,0
02-June-2012,Algeria,Oran,0
